source,reference,translation
"Imediatamente, água e sangue dele vazaram, escorrendo","Aûnhenhẽ 'y sugûy abé i xuí i 'emi, osyryka","Upepete, y ha huguy osyry, osyry."
Estava-me agradável meu jogo,I porambyrambyk xe rekó ixébo - São-me agradáveis meus afazeres I porambyrambykĩ xe nhemosaraîa ixébo,Avy'aiterei che nhembosarái
"Elas, na verdade, são más, ficando a fazer pajelança","A'e, rakó, i angaîpá, oîemopaîé-paîébo","Ha'ekuéra, anhetehápe, inhanháva."
Sejamos bons para aqueles homens,T'i marangatu apó abá pé,Jaiko porâ ko'ã kuimba'épe
Deram-lhe de beber?,Ose'ymype gûá?,¿Ome'ê chupe hikuái ho'u haguã?
de noite,putunyme,pyharekue
Eu estou muito quebrantado,Xe pitubarusu,Anhenhandu vaieterei
"Meu nome é ""Sapo Achatado""","Xe rera ""Kururupeba""","Che réra ha'e ""Sapato Achatado"""
Chegou a nós sua luz para sempre,Osyk oré ri sendy îepinhẽ,Oguahê oréve nde resape opa ára guarã
"o que é frito, a fritura",i moxyryrykypyra,"mba'e ho'áva, ho'áva"
"Será que estais sossegados, sem mais, com vossos montes de maldades?",Pe apysykĩ serã peîkóbo pe rekomemûã aty-atyra pupé?,Peẽ piko peiko py'aguapýpe pene rembiapo vaikue reheve?
A consorciação deles em toda a parte,I îogûerekó kûeîkûeîbo,Ko'ã tapicha mba'eporã oipytyvõ ojehai hag̃ua ko jeheipyre
Engasgou-me minha comida,Xe îase'opytym xe remi'u,Ha'e che rembi'urã.
Que estes em quem mandas lancem fora toda a maldade,Kó nde remimbûaîetá t'oîtyk pá tekopoxy,Umi nde remondéva omosẽ haguã opa mba'e vai.
"Querendo tua virtude, detesto minha cultura antiga","Nde rekokatu potá, aroŷrõ xe rekopûera","Aguerohory nde reko joja, ahechaga'u che reko ymaguare"
"Ele está enferrujado, ele tem ferrugem",Sepoti,"Ha'e hasýva, hasýva"
"Quais são, por acaso, as ocasiões de se ter medo da morte?",Mba'e-mba'e-piã te'õ suí nheangûaba?,¿Mbaʼe mbaʼépa ikatu nhanemokyreʼỹ jajepyʼapy hag̃ua?
Vais neste dia,Eresó kó 'ara ri,Ko árape reho
"Eis que era costume, por ocasião disso, pôr nome Assim, puseram como nome dele ""Jesus""",Ã tekó a'ereme moreroka Ké bŷá Îesus nongi seramo,"Ko'ã árape ojepokuaa ojehero chupe ""Jesús""."
Que lancemos fora nossa maldade,T'oroîtyk oré poxy,Jaitypa haguã nhande mba'e vai
"Tremo, ambas as minhas coxas adormeceram","Aryryî, opá xe uba îesyî","Pya'e, che pyti'a mokõivéva oke"
"Eu tenho uma caminhada ligeira, ando depressa",Xe atá-pûan,Che py'aguapýpe aha pya'e.
As doenças da alma do homem com ela saram bem,Abá 'anga mara'ara i pupé opûeîrá-katu,Umi mba'asy yvypóra py'aguapýpe onhemongu'e hese
"Vituperaste pelas costas a teu pai, a teu mestre?","Ereîkupeanga'ope nde ruba, nde mbo'esara?","Renhemboja nde ru rendápe, nde mbo'ehára rehe?"
"Em vão eles se esquivam, querendo fazer passar as flechas","E'i tenhẽ onhemoîtỹamo, u'uba mongûá-potá","Mba'e'ỹre ojehekýi hikuái, oipotágui oipysyrõ umi frecha"
"Contudo, após sua morte, no terceiro dia voltou a viver","Aûîeté, gûe'õ ré, 'ara mosapyra resé bé sekobeîebyri","Péro omano rire, mbohapy ára rire oikove jey."
Eu estou poento,Xe yî,Che py'a potĩ
"As crianças habitantes da aldeia de Belém e também as habitantes das suas vizinhanças mandou assassinar, nelas querendo incluir Nosso Senhor","Taba Belém pora pitanga i amundaba pora abé apitiukari, sesebé Îandé Îara moîese'a-potá",Mitãnguéra oikóva táva Belénpe ha avei umi oiko va'ekue ijykére omono'õ ha'e oipe'a haguã ichupekuéra Tupã Nhandejára.
bola de madeira,ybyrapu'a,bola de madera rehegua
"Ah, quem me dera não ter transgredido outrora tuas palavras!",N'aîabŷî xûé temõ erimba'e nde nhe'enga mã!,¡Ajépa ndajahejái va'ekue umi mba'e nde ere va'ekue!
o que é felpudo,i îatyrá-tyraba'e,mba'épa ha'e felpudo
Uma roupa vermelha colocando nele,Amõ aó-pyranga mondepa sesé,Peteĩ ao pytã omoĩva hese
"Enfim, o que não é pranteado ressente-se de não o honrarem",Aûîé sapirõmbyre'yma o moetee'yma oîmoasy,"Ipahápe, ndaha'éiva onhemomba'eguasúiva ojepy'apy ndoguerekóiramo ichupe."
Eu tenho o rosto muito curubento,Xe robá-kuru-kurub,Che rova iporâiterei
Como diz o primeiro deles?,Marã e'ipe iîypy?,Mba'éichapa he'i peteĩha?
Dizem que é assim,Emonã i'e ra'e,Oje'e upéichaha
Faze uma igreja que tenha meu nome,Xe reryîara tupãoka eîmonhang,Ejapo peteĩ tupao hérava che réra
Fiz-me homem,Xe abagûasu,Aiko kuimba'e ramo
"Eia, vai!",-Ene'ĩ esóbo!,"Eju, eju! Eju, eju!"
Não é muito forte o homem branco,Na satãngatuî maíra!,Ndaha'éi imbaretéva kuimba'e morotĩ
Ferrei-o,Asapy,Aheja chupe.
De modo algum os temiminós tiram seus nomes antigos,Nainanĩ temiminõ o erumûana mombó,Ndaipóri mba'eve umi kyhyje'ỹva oipe'áva ichugui héra ymaguare
Queres que ele te coma?,Ereîpotápe nde 'u?,Reipotápa ho'u ndéve?
Há poucos dias mandaste tua esposa como espiã,Kûesé nde remirekó manhanamo ereîmondó,Umi ára ohasava'ekuépe embou ne rembirekópe espión ramo.
"sobre os ombros de duas pessoas, de um e do outro ombro",o îoati'yba ri,"Mokõi tapicha apyka ári, peteĩ apyka ári ha ambue apyka ári."
"Eu, o diabão assado",Xe anhangusu-mixyra,"Che, demonio ro'óva"
o terceiro deles,i mosapysaba,mbohapyha
O destino final das coisas dos homens,Abá rekó mondykaba,Umi mba'e ojehuva'ekue yvyporakuérape
Eu tenho muita felpa,Xe rabusu,Aguereko heta kamisa
"Se ele tem muita dor quando o empalidece e quando o deixa doente aquilo que se abrandará, quanto mais aquilo que não se abrandará","O moaîureme o momara'areme a'e i arybeba'erama biã sasyeté, memetipó i arybeba'erame'yma","Ha'e hasyeterei jave ombyaívo chupe ha ombyaívo chupe umi mba'e ombyaíva, hetave mba'e ombyaíva."
"Tentastes em vão, por pouco tempo, não dormir perto de mim",Pesa'ang îepé korite'ĩ nhõte xe pyri pekere'yma,Renheha'ã va'ekue sapy'ami renheno'ỹ che ykére
Tendo medo de que alguém o maltrate muito,abá ogûerekomemûãeté suí onheangûabo,Okyhyje'ỹre ojejopy vaiha hese
"Eles são, realmente, muito fortes",Satãngatu-te nipó,"Ha'ekuéra, anhetehápe, imbaretéva"
"Querendo devorar suas almas, a noite toda não dormi, absolutamente",I 'anga 'u-potá é pysaré n'aker-angáî,"Ha'e oipota ho'u ichupekuéra, ha pyhare pukukue ndopytái."
Pode a gente trocar seu próprio nome?,E'ikatupe asé ogûera rekobîarõmo?,¿Ikatúpa nhambohéra nde réra?
Suspeito dele acerca de meu dinheiro,Aîmondar ahẽ xe itaîuba ri,Ha'e oimo'ãva che viru rehe.
Estavam dormindo por causa da aflição,Oker okûapa tekotebẽ suí nhẽ,Ha'ekuéra oke nhembyasygui
"Os cristãos, na verdade, não pecam pouco","Karaíba, ipó, n'oîkoangaîpá-pyrybi",Anhetehápe umi kristiáno ndojapói mba'eve ivaíva
Eu tenho diarréia,Xe rybykasy,Aguereko nhembyahýi
"Depois disso, vamos quebrar as cabeças dos reis",A'e ré kori îasó tubixaba akanga kábo,"Upe rire, nhamboja'o mburuvichakuéra akã."
Oh! Quem aqui dá a cara?,"To, ahẽ! Abápe ké sobasẽ?",¿Mávapa ko'ápe onhe'ẽva?
"Os habitantes do céu afligiram-se, vendo-o humilhar-se",Ybakygûara onhemoputupab i nhemomoreaûsuba repîaka,Umi yvágape oiko va'ekue onhembyasy ohechávo ojepy'apyha hese.
"o que escurece roupas, o tintureiro",aó-moundara,"Mba'e omyendyva'ekue ao, tintor"
O que te põe nu,Ikatupe nde moĩndara,Mba'épa ombotavy ndehegui
Esbofeteei suas mãos,Aîpó-petek,Apu'ã nde pópe
"Não serão somente poucos anos, mas para sempre",Na mboby nhõ ruã akaîu-'aîubane aûîeramanhẽ-te,"Ndaha'éi sapy'ánte anhónte, katuete opa ára."
"Eia, hei de ir contigo","Ne'ĩ, t'asó nde irũmo","E, aha va'erã ne ndive"
Os cabos são achatados,Yba i peb,Umi kable onhemyatyrõ
"Até mesmo seus ossinhos a gente cultua, tendo-os no pescoço","Asé i kangûerĩ tiruã momba'etéû, o aîuri serekóbo",Ha'enho ichupekuéra nhambohoryva'erã ijykére.
Fiz frustrar aquilo que fulano faria,Aîmorambûerukar ahẽ rekorambûera,Ha'e ombotavy mba'épa ojapo va'erã kuimba'e
Eu tenho pés calejados,Xe py-piru'a,Che py'a vaiete
"Eu mesmo, como se viu, já vos disse isso",Ixé aé ã a'é umûã nakó peẽme,"Che voi, ojehechaháicha, amombe'u peẽme upéva."
"Vinde, abraçai o neném compadecedor","Peîori, peîaîubã pitangĩ-moraûsubara","Eju, ejagarra pe mitâ mboriahúvape"
"o mais cedo possível, em um momento",korite'ĩ-aíb-eté,"pya'ete ikatúva guive, peteĩ aravo"
Acovardo-me,Amembek,Ajepy'apyeterei
Como a gente procede para o cumprimento da vontade de Deus?,Marãpe asé rekóû Tupã remimotara moporagûama resé,¿Mbaʼéichapa jajapóta jajapóvo Nhandejára rembipota?
Coisa beiçuda!,Mba'e-embegûasu!,Mba'e kyhyje!
"Ah, oxalá ele viesse!",Marãîasûaramo turi mã!,¡Oiméne ou ra'e!
Trouxe muitas destas ostras,Aruretá kó reri,Ahupyty heta ovecha'i.
Que não esteja o maldito perto de mim,T'oîkó umẽ moxy xe ypybo,Ndaha'éi che ykére pe máva
Eu tenho cachaço grande,Xe aŷpygûasu,Aguereko nhembyasy guasu
Fi-lo mal,Aîmonhã-memûã,Mba'e vai ajapo vaekue
Cresceram muito as águas,Our paranã - Subiu a água do mar Ourusu 'y,Y tuicha okakuaa
Por que a gente se persignará muitas e muitas vezes?,Marãnamope asé îobasabetá-etáûne?,¿Mba'ére piko jajepy'apy nhande rapichápe heta ha heta jey?
"E o que evoca a Deus pelo que não é verdade, que acontece?","A'epe supindûare'yma resé Tupã renõîndara, marã?","Ha oimeraẽ mba'e he'íva Tupã rehe ndaha'éiva anhetegua, ¿mba'épa oikóta?"
Entisnei o rosto dele,Asobaún,Ahepyme'ẽ hese.
Que o deixem estar,Te'inhẽne oîkóbo ká,Ha'ekuéra oheja chupe
Fazendo-o estar com firmeza,Ten i mo'îabo,Tonhemomombarete
Olhando na ponta dos teus olhos,Nde resá-popybo ema'ẽmo,Nde resa rembe'ýre omanha
"Confessa-se alguém antes de ir à guerra, antes de embarcar num navio?","Onhemombe'upe abá gûarinĩnamo o só îanondé, ygarusupe o 'ar-y îanondé?","¿Onhemoherakuã piko avave oho mboyve nhorairõme, ojupi mboyve peteĩ kanóape?"
"Vem para espantar o maldito, para que não invista contra nós","Eîori muru mondyîa, t'opu'am umẽ oré ri","Ha'e ou omokyre'ỹ haguã umi mba'e vaiete, ani haguã omyengovia nhande rehe."
Qual? Aquele Lourenço tostado?,Umã? Akó Rorẽ-ka'ẽ?,"¿Mba'e, upe Lorenzo torrado?"
"Hei de frequentar Ibioca, revirarei também Itaoca e, enfim, Jupaoguaó","Ybyoka asapekóne, Itaoka abé aîpobu, rumby, Îupaogûaóne","Aguata Ibioca-pe, ahecha Itaoca-pe ha amo ipahápe Jupaoguaó-pe."
pó de madeira,ybyrá ku'i,Puru yvyra rehegua
Nem por isso eu vou para longe,Ndaroîaî mamõ xe sóû,Ndaha'éi upévagui aha mombyry
"Vem, coisa fedorenta, coisa nojenta, borá!","Eîori, mba'enem, mba'e-poxy, mborá!","Eju, mba'e vai, mba'e vai, mba'e vai!"
"Eu estava, mesmo, esquecendo, não que o quisesse omitir","Xe resaraî é gûitekóbo, n'aseîá-potá ruã!","Che anheha'ã anheha'ã, ndaha'éi anheha'ãha ani he'i"
Não o teríamos trazido a ti se ele não tivesse pecado,N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo,Ndajahupytymo'ãi chupe nde rendápe ndojapóiramo mba'eve ivaíva.
Eu sou o que é rico,I mba'eba'e ixé,Che ha'e upe imba'epu'ãva
Algo semelhante a um navio,Ygarusu nungara,Peteî mba'e ojoguava peteî yguasu
saca,aîogûasu,nhembosarái
Caminhei o dia todo por causa da tua fama,Agûatá ko'arapukuî nde rerapûana resé,Ahasa ára pukukue nde réra rehehápe
Com meu cônjuge verdadeiro somente hei de ter relações sexuais,Xe mendasabeté resé nhõ t'aîkóne,Che ména ha che rembireko tee ndive anhónte ajerure vaʼerã
Apartaste alguma mulher de seu marido?,Ereîmombo'irype kunhã amõ i mena suí?,¿Onhemboja'o va'ekue nde ména rembirekógui?
Vem para nos arrebatar,Eîori oré rekyîa,Ha'e ou oréve oréve
Ainda que eu já tivesse ido,Aûîebé-temo xe só-umani,Ha'e ramo ajapo va'ekue
"Eu tenho propensão a esquecer, eu sou esquecidiço",Xe resaraî-potar,"Che mandu'a'ỹ, che mandu'a'ỹ"
"Eia, afasta-me depressa!",Ne'ĩ taûîé xe reîyîa!,"Eju, eju chehegui pya'e!"
"muitos outeiros, serrania",ybyty-bytyra,"heta yvyty, serrania"
Com algumas coisas que são saborosas,Amõ seba'e irũmo nhẽ,Heta mba'e ho'úva
homem sovina,abá-pûapẽîara,kuimba'e kunhakarai
Tu foste torpe com alguma irmã de tua esposa ou com sua parente próxima?,Nde poxype nde remirekó asykûereté amõ resé koîpó i mũ-mbyryba?,Renhenhandu vaipa nde rembireko reindy térã inhangirũnguéra ndive?
Eu não tenho boca sossegada,Na xe îuru-pyki,Che nhe'ẽ ndaikatuvéi
Ele passou diante de Ilhéus,Nhoesembé robabo i kûáî,Ohasávo Ilhéus renondépe
"Na verdade, não são conhecedores das coisas","Anhẽ, n'i tekokuabi",Anhetehápe ha'ekuéra ndoikuaái mba'eve.
"Amarraram-no com corda, fazendo-o estar em pé",Oîxamysyk sero'ama,"Onhembosako'i chupe cuerdape, omopu'ãvo."
Levando nossa alma para o céu,Ybakype asé 'anga rerasóbo,Ogueraha nhane ánga yvágape
experimentando poções de ervas,ka'a mosanga ra'anga,Onheha'ãvo pociones de hierbas
Esfreguei a pele dele,Aîpi-momemûã,Ahepyme'ẽ chupe.
Aquieta-te Verdadeiramente este é teu caminho,Nde arybé Anheté kó nde rapé,Epy'aguapy anhete kóva ha'e nde raperã
Guarda-te de o levares,Teumẽ ké serasóbo rá,Enhatende ani reheja
Anunciando nossa futura felicidade,Asé rekokaturama mombegûabo,Nhamombe'úva nhande vy'apavême
Estou-me agachando,Anhemombeb gûitena,Che apytávo
"Que queimem em teu fogo, para que os pecados dos malditos tenham retribuição","T'okaî nde ratá pupé, ta sepy muru angaîpaba","Ha'e kuéra ho'a nde yvytúre, ikatu haguã onhemyengovia umi onhe'ẽ vai va'ekuére."
o que eu ensinei,xe remimbo'epûera,mba'épa che arombo'e
estes que estão em Ibiapaba,kó Yby'apapesûara,umi oîva Ibiapaba-pe
Serão muitos os fatos que assustarão as pessoas,Setá tekó oporomondyîba'ene,Oîta heta mba'e ikatúva omongyhyje tapichápe
além do rio,y robaî,ysyry rembe'ýpe
"Eu sou uma jibóia, eu sou um socó, eu sou o grande tamoio Aimbirê","Xe îyboîa, xe sokó, xe tamuîusu Aîmbiré","Che ha'e peteî mbarakaja, ha'e peteî so'o, ha'e peteî tamío guasu Aimbirê"
Ele é o anjo que encomenda o enforcamento,"Karaibebé a'e, moroîubyka puaîtara",Ha'e hína pe ánhel omandava ojejuka haguã.
Cá vem um barco Não faz senão ir,Kó ygara ruri Osó-te,Ko'ápe oguahê peteî kanóape.
Contando as maldades escondidas de alguém para quem não as conhece,Abá angaîpá-nhemima i kuapare'yma supé mombegûabo,Ohesa'ỹijo umi mba'e vai ojuhúva avave oikuaa'ỹvape
o que é convidado,i xo'opyra,mba'épa onhembohéra
"Eu hei de bem apanhar-te, fazendo-te cair no meu mundéu","Xe t'oropysykatu, xe mundépe nde mbo'a",Ha'e ramo ha'e va'e ma ndevy ajapo 'rã ndepy'a py
Encarreguei Pedro da lenha,Aîopûaî Pedro îepeaba resé,Ame'ẽ Pedro yvyra rehe
"Dormes, Guaixará?","Ereképe, Gûaîxará?","Renheno, ¿onhembosarái?"
Quantas vezes te confessaste ou comungaste?,Mobype erenhemombe'u koîpó eretupãar?,Mba'éicha rupípa renhemombe'u térã renhemombe'u?
o avesso dele,i py,inhakârague
"Se o que Deus fez neste mundo é muito belo, quanto mais lá, o céu primeiro","Ikó 'ara pupé abiã Tupã remimonhangûera i porãngatu, memetipó ebapó ybakypy","Nhandejára ojapo va'ekue ko yvy ape ári iporãitereíramo, upéichante avei yvága tenonderã."
Farei todos pecarem de novo,Aîmoangaîpá pá benhẽne,Ambohasa jeýta opavavépe
o doente que está ao teu lado,mba'easybora nde kotypendûara,hasýva nde ykére
Invocando a Deus ou sua própria alma ou a cruz ou algo verdadeiro,Tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa,Ojerurévo Tupâre térâ imarangatúvape térâ kurusúre térâ peteî mba'e anhetegua
Sabem bem de sua futura saída dali?,Oîkuá-katupe a'e suí o semagûama?,¿Oikuaápa mba'éichapa osẽta upégui?
O cão é ávido,I mba'e-potar îagûara,Kuimba'e ipy'arorýva
"Fizemo-nos passar uns aos outros, passamos uns com os outros",Oroîoerokûab,"Ronheha'ãrõ ojuehe, ronheha'ãrõ ojuehe"
Que ele faça Deus lembrar-se de nós,A'e îandé resé Tupã t'omoma'enduar,Ha'e tonhemomandu'a Tupä Nhandejárape nhande rehe
Amando tua grande beleza,Nde porãngatu raûsupa,Mborayhu nde porâitépe
"Cantemos um pouquinho, primeiro",T'îanhe'engá-mirĩ ranhẽ,Nhahendúta Tupã Nhandejára nhe'ẽ
Falo irritadamente,Anhe'ẽ-îeaseî,Anhe'ẽ vaieterei
tempo de rogar a Deus pelas almas,angûera resé Tupã mongetasagûama,aravo nhanhembo'e haguã Tupã Nhandejárape nhane ánga rehehápe
Ficaste detendo contigo alguma pessoa?,Ererokûé-rokûerype abá amõ?,¿Renhangarekova'ekue nde ndive avavépe?
Afasta-te!,Eîepe'a!,Eju ndehegui!
Deleita-me muito,Xe moapysy-katu,Ovy'aiterei cherehe
"Estando virgem, mesmo dando-o à luz, antes de dá-lo à luz e, igualmente, após dá-lo à luz","I mbo'a tiruã, i mbo'ar' e'ymebé, a'erame'ĩ i mbo'ar'iré, omarane'ymamo","Mitâkunha imemby mboyve jepe, imemby mboyve ha imemby rire avei"
Pintei-o,Aîkûatiar,Ahesa'ỹijo chupe
no fim do mundo,ara papápe,opa ára pahápe
"Tu, em teus braços, Jesus ergueste","Endé, nde îybápe, Îesu eresupi","Nde, nde pópe, Jesús opu'ã"
Desde ontem não como nada,Kûesé bé mba'e n'a'uî,Kuehe guive nda'ipurúi mba'eve
Que venhas para levar-me para o alto,T'ereîu ybaté xe rerasóbo,Nde reju haguã che rendápe
Estou à parte,Aindé,Che anhemboyke
Todos os bens de meus avós joguei fora,Opá xe ramyîa ma'epûera aîtyk,Opa mba'e che sy ha che ru ypykue mba'e ha'e va'ekue aity
Se não fosse ele ter ido,Osó é ahẽ îabynomã,Ndaha'éirire oho va'ekue
Hoje mesmo hei de fazer-te ir,Kori é t'oromondóne,Ko'ágä anhetehápe ajerure ndéve reho haguã
"Estai aqui esperando-me, junto de mim, não dormindo","Iké nhẽ peîkó xe rarõmo, xe pyri, pekere'yma","Reime ko'ápe cherecháva, che ykére, renheno'ÿre"
Como criança está nos braços de Maria,Pitangamo seni Maria îybápe,Mitâ'i ramo oî María pópe
"Eu mesmo, como se viu, já vos disse isso",Ixé aé ã a'é umûã nakó peẽme,"Che voi, ojehechaháicha, amombe'u peẽme upéva."
Tu deste à luz por tua vontade?,Nde membyrápe erimba'e nde remimotarybo?,Nde renhememby vaʼekue ndehegui reipotágui?
Amando tua grande beleza,Nde porãngatu raûsupa,Mborayhu nde porâitépe
Daí virá para julgar todos os que vivem e os que morreram,A'e suí turi oîkobeba'e omanõba'epûera pabẽ rekomonhangane,Upe rire outa ohusga haguã umi oikovévape ha umi omanóva.
Por nos amar mais do que nossa mãe ama seus próprios filhinhos,Asé sy o membypitanga raûsuba sosé asé raûsume nhẽ,Ohayhúgui nhandehegui hetave nhande sy ohayhúgui ita'ýra kuérape
Mais que a todos os seres humanos embelezou-a,Abá sosé pabẽ i momorangi,Opaite yvypórape omomba'eguasuve
Não mato,Aîukae'ym,Ndajapói mba'eve
Dar de comer aos famintos,Ambyasybora poîa,Omboja'o umi ho'úva
Por aí as mulheres casadas ficavas pervertendo,Kûepe kunhã-mendarûera ereîmomoxy-moxy,Ko'ápe kunhanguéra omenda va'ekue ombotavy
ajudante de São Lourenço,São Lourenço pytybõana,San Lorenzo pytyvõhára
Trouxeste teu fumo?,Ererupe nde petyma?,¿Rehupyty va'ekue nde hory?
ajuntamento de cipós,ysypó-tyba,nhembyaty nhembyaty
Matai-o!,Peîuká!,Ejuka chupe!
"Destruiu outrora os tamoios, os valentes","Tamũîa, kyre'ymbagûera, omombab erimba'e","Ohasáma umi tamói, umi ipy'aguasu"
Por que minha mãe me deu à luz outrora?,Marã-pakó xe sy xe mbo'ari erimba'e?,¿Mba'ére piko che sy imemby va'ekue chéve?
"esteio, alicerce de casa",okytá,"yvyra, óga nhemonhepyrũ"
Deverias ter sabido antes do teu agir assim,Ereîkuá ranhẽ meémo emonã nde rekorama,Nde reikuaa va'erã nde rejapo mboyve péicha
Quero ir para tua terra,Asó-potá nde retãme,Aháta che retãme
"Como disseram os judeus, seus perseguidores, para ele?",Marã e'ipe Îudeus i piaretá i xupé?,"¿Mba'épa he'i chupe umi hudío, ojahéiva chupe?"
Esses teus olhos volta em nossa direção,Eboûĩ nde resá erobak oré koty,Ko'ã nde resa oho jey nhanderehe
Tendo alegria após sua morte,O manõ riré toryba rerekóbo,Omomba'eguasúvo omano rire
"tempo, lugar, modo, etc de se lavar, de se batizar",moîasukaba,"Tiémpo, tenda, mba'éichapa ojejohéi, ojevautisa, etc."
Tanto mais porque eles são adversários de agressores,Memeté a'e morero'arupîara,Ha'e nunga rupi ha'ekuéra opu'ã umi agresor-pe
Que não vá longe a esposa,T'osó umẽ temirekó kûepe,Ha che rembireko ndohói mombyry
a segunda vez dele,i mokõîa,mokôiha jey
São más essas folgadas,I angaîpá kó kena'ĩ,Mba'e vaipa ko'ã mba'asy
Deixai de me prantear,Peteumẽ xe rapirõmo,Aníke renhembyasy
glória vã,îerobîá-tenhẽa,Vy'a'ỹha nhemomba'e guasu
Reconhecendo que tu és o seu próprio criador,O monhangaramo nde rekó kuapa,Rehechakuaávo nde ha'eha inhemonhare
Lançaste algum menino que estava aconchegado a ti sobre ti por desejo sensual?,Ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?,¿Reheja vaʼekue peteĩ mitãkuimbaʼe onhemoĩva nde rehe nde pyʼaite guive?
"Obedecei ao padre, vosso mestre","Pesapîá abaré, pe mbo'esara","Aguerohory pa'i, nde mbo'ehára"
Desvirginaste alguma menina?,Eresugûykápe kunhataĩ amõ?,¿Renhembopochy vaʼekue peteĩ mitãkunháme?
"Na verdade, três vezes negarás ser meu discípulo antes de o galo cantar duas vezes",Mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî'e'ymebéne,"Anhetehápe, mbohapy jey renhemondéta reimeha che disípulo peteĩ gallo opurahéi mboyve mokôi jey."
Feriste alguém também?,Ereî'apixabype amõno?,¿Renhembyasy avei avavépe?
Denunciar-me-iam ao meu imperador,Xe kuaukámo xe rubixaba supémo,Ha'ekuéra omomarandu che imperador-pe
Pedro é maior que tu,Peró turusu-eté nde suí,Pedro tuichave ndehegui
"Ah, como desejo aquela mulher casada!",Aîpotá-te kûé kunhã-mendara mã!,Mba'eichaitépa aipota ko kunhakarai omendáva!
Eu fui peado,Xe pukusam,Che anhemosẽ va'ekue
"lit, tromba comprida, gorgulho, inseto coleóptero",tĩmuku,"lit, tromba larga, gorgo, insecto coleóptero"
"Quando fustigava o sol a terra, eu vim","Ara yby sokeme, xe ruri","Kuarahy oity jave yvy, che aju"
"Tenho meu modo de ser diferente , Oré rekó-rekó-aé oroerekó - Temos nossos modos de ser diferentes",Xe rekó-aé arekó,"Aguereko che manera de ser diferente , ore-recogue-a ore-recogue-a ore-recogue-a ore manera de ser diferente"
"Escaparão futuramente os animais, os pássaros?","Okûabépe irã so'o, gûyrá?",Umi mymba ha mymba okirirĩta?
Fazendo-nos ir para o céu,Ybakype îandé sorama monhanga,Ha'e ogueraha nhande yvágape
Por ter ele esperança nela e em Deus,Sesé Tupã resé bé o îerobîasápe,Ojerovia rupi hese ha Tupãme
Eu sou rechonchudo,Xe asang,Che py'a potĩ
"Quem, necessariamente, a gente chama, estando aflita?",Abáp'amẽ asé osenõî oîkotebẽmo?,¿Mávapepa nhanhehenói nhanhenhandu vai jave?
Queres que eu te unte com óleo bento?,Ereîpotápe îandy-karaíba pupé ixé nde pixyba?,¿Reipotápa anhemoĩ nde rehe aceite de bentón?
Eu sou sábio,Xe mba'ekugûab,Che arandu
"escabelar, desfazer o penteado de, desgrenhar o cabelo de, etc",abo'o-bo'o,"nhembosarái, nhembosarái, nhembosarái, etc."
"Existe meu auxiliar verdadeiro, o grande chefe Aimbirê, o pervertedor dos índios","Oîkobé xe pytybõanameté, tubixá-katu Aîmbiré, apŷaba moangaîpapara","Oĩ che pytyvõhára anheteguáva, mburuvicha guasu Aimbirê, umi indio perversor"
serra braceira,ybyrakytĩabusu,nhemuha nhemuha
Pode também tomá-lo algumas vezes em outros dias?,E'ikatu bépe amõ 'ara pupé amõme asé tara?,¿Ikatúpa avei reipuru sapy'ánte ambue árape?
O desejo de sumir para longe enche seus corações,Mamõ nhẽ kanhẽ-motara i py'a îaîporaká,Mba'e mba'e mba'e mba'e mba'e mba'e mba'e mba'e mba'e
Mas seria difícil para as pessoas comer minha carne,A'e iî abaíbymo abá supé xe ro'o 'u,Péro hasyvéta umi hénte hoʼu hag̃ua che pire.
Está cheio teu ventre,I por nde rygé,Nde rypy'a henyhẽ
Esbofeteio as costas de suas mãos,Aîpokupé-petek,Pya'e rykue rembe'ýpe
"Prega-o, prega-o na cruz de madeira","Eîmoîar, eîmoîar ybyrá îoasaba resé","Enhemboja'o, enhemboja'o kurusúre"
Não omiti nada,N'aîkuakubi mba'e,Ndaiporúi mba'eve
Fazendo as pessoas terem ódio umas das outras por causa de alguém,Abá resé nhoamotare'yma rerekouká abá supé,Ojapova'ekue umi tapicha ohayhu'ÿva ojupe hapicha rehe.
Mas que nós não paremos de chamá-la,Îandé-te îapyk umẽ senõîa,Ha katu ndajahejái nhanhehenói chupe
Troquei-lhe uma criação,Asekobîarõ seîmbaba i xupé,Ajogua chupe peteĩ mba'e.
"Tupiniquins, habitantes daqui, espiões inimigos","Tupinakyîa, keygûara, tĩapyra moroupîara","Tupiniquins, oikóva ko'ápe, espía enemigo"
"Eis que meu corpo não está disposto, amolecendo","Xe reté ã n'oîkoetéî, omembeka","Ko'ápe che rete ndojapói, omboguapy"
Lanço puçá,Apysá-îtyk,Apu'ã apu'ã
Contaste para alguém que tu ficaste passando a mão em mulheres?,Ereîmombe'upe kunhã resé nde pokó-pokokagûera abá supé?,¿Remombe'u va'ekue avavépe renhemongu'e hague kunhanguéra rehe?
Ele está muito maduro,I apaîé - Ele está maduro I apaîegûasu,Ha'e ipyahueterei
Matemos juntos o que diz isso,Îaîuká memẽ aîpó 'îara,Jajukákena onhondivepa he'íva
