Português,Tupi Antigo
remédio portador de cura,mosanga mûeîrab-yîara
"Enfim, os moços escondem seus muito maus procedimentos","Aûîé, kunumĩgûasu o ekó-aíbeté oîomim"
"vagem seca, pronta para ser colhida",topé-tininga
Que estejamos perto de ti,T'oroîkó nde ypype nhẽ
Vamos um pouco mais ao longo da costa,Ybyri-pyryb t'îasó
Apodreci,Atuîuk
Será que a noite toda ages para fazer sumir as galinhas?,Pysaré serã ereîkó arinhama mokanhema?
vida longa de minha alma,xe 'anga rekó-puku
Ele tomou os traços dos olhos de seu pai,Og uba resá ahẽ ogûar
Que morra!,T'omanõ!
Mudei minhas palavras,Asekoabok xe nhe'enga
A força vital das frutas aqui está,Ybá seté kó sekóû
"cepo, o toco da árvore que foi cortada",ybyrá-ypypûera
Não porque eu fui veio ele,Na ixé sóreme ruã turi
"de uma só parte, de um só lado",amongoty nhõ
"Ó meu filhinho, lembra-te de que os que pereceram são objeto de esquecimento","Xe ra'yrĩ gûé, tesaraîtabamo okanhemba'epûera rekó resé nde ma'enduar"
Pus-lhe enfeites no rosto,Asobá-posanong
Bem que o chamei,Îepé asenõî
E os rapazes que perseguem mulheres?,A'epe kunumĩgûasu kunhã oîmomosemba'e?
Por isso mesmo ficava caindo com ela por causa do seu peso,Nd'e'i te'e sero'a-ro'a i posyîa suí
Firmei-o comigo,Aroten
fibras esvoaçantes,pó-bebé
Fiz gaiola para eles,Asokaîmonhang
"Tu, talvez para retribuir, atiras nele, o dia todo, a prostituição",Nde serã i poepyka sugûaraîy ereîapi ko'arapukuî
Pensa em vir para vos espantar,Oú-mo'ang pe mondyîa
"Os moços, os homens, as moças, a todos bem os tenho em minhas mãos como meus súditos","Kunumĩgûasu, apŷaba, kunhãmuku, xe boîáramo pabẽ xe pópe arekó-katu"
O que cria mentiras por causa de alguém,Abá resé mo'ema oîmonhangyba'e
animal quadrúpede que não se come,so'o-aíba
"Que sejamos corajosos, sim, suportando as coisas dolorosas como tu","T'oré pyatã, angá, mba'easy porarábo nde îá"
Transformo o ferro em anzol,Aîmonhang itá pindáramo
"Em tuas mãos sentando-se, vai o menino, consolando-te","Nde pópe ogûapyka, osó kunumĩ nde moapysyka"
"Tataurana, traze aqui tua muçurana!","Tataûrana, eru ké nde musurana!"
Recebemo-nos uns aos outros,Oroîopopysyk
"Excitaste teu órgão sexual, lembrando-te de mulheres?","Ereîmoanĩpe nde remimborará, kunhã resé nde ma'enduaramo?"
Levei as tuas coisas entre as minhas coisas,Arasó nde mba'e xe mba'e pupé
"Portanto, tomou este dia como tempo de honrá-los em conjunto",Emonãnamo kó 'ara rari oîepegûasu i moetesabamo
"A dança é que é boa, enfeitar-se, tingir-se as pernas com urucu","Moraseîa é i katu, îegûaka, îetymã-gûanga"
"Há de se me deparar algum, primeiro",T'oîesub amõ ixébo ranhẽ
"Ah, eu haveria de queimar verdadeiramente no fogo do diabo!",Ixé tekatu-eté'ĩ ra'u anhanga ratápe akaîmo mã!
"ao longo do dia, todo o dia",ara pukuî
Fiz todos os jejuns,Aîá pá îekuakuba
Manda pregá-lo na cruz,Eîmoîar-ukar ybyraîoasaba resé
"Verdadeiramente, eis aqui teu caminho, o que tu procuras","Anheté, kó nde rapé, a'e nde remiekara"
Eu sou muito barulhento,Xe pugûasu
Deve ter ido,Osó ipó re'ĩ
"Nós assomamos em grande número, nós éramos muitos",Oré akoroí
Eu fiz confusão,Xe apererá
aldrava da porta,okena potãîa
Que mau é ele!,Tieté maniîabo a'e!
"o que tem corpo, o que é corpóreo",seteba'e
Segui adiante,Akûabĩ tenondé
"Portanto, nós rezamos aos santos?",Emonãnamope asé îeruréû santos-etá supé?
"Passei, somente",Akûab îõte
Dizem que irá,Osó ra'ene
Desviei-o comigo,Aropîá
Tu te alegraste por alguém cometer furto delas?,Nde rorype sesé abá mondarõagûera resé?
sobre a pedra,itá sosé
Rapo-lhe a cabeça,Aî'apin
"Insultam-se as velhas, odeiam-se","Oîoa'o-a'o gûaîbĩ, oîoamotare'ỹ"
Bem nesse momento perdoou a Pilatos,A'eîbé Pilatos supé oîerekûabamo
Querendo fazer passar as flechas,U'uba mongûá-potá
Envergonha-te de ti mesmo,Etĩ nde îosuí
Que queres?,Ma'epe ereîpotar?
Açoito gente frequentemente,Xe poronupã îaby
Vou ao caminho das pessoas,Asó morapépe
Ajo mal,Marani aîkó
Eu sou mal-encarado,Xe resakûarasy
Os homens reconheceram-no como Deus verdadeiro?,Abá Tupãetéramo sekokuabi?
Sou novato nisto,ikó ramõ - ser novato - Aîkó ramõ anga resé
"Embora vos tivésseis esforçado, estivestes deitados só pouco tempo junto a mim, não dormindo","Pesa'ang îepé peuî korite'ĩ nhõte xe pyri, pekere'yma"
"Embora seja vinho, tão logo pronuncie o padre as palavras de Nosso Senhor Jesus Cristo, é seu sangue, na verdade","Kaûĩ biãaûîé, Îandé Îara Îesu Cristo nhe'engûera abaré sa'angireme, sugûyramo nhẽ sekóû"
"Por isso mesmo os moços entram sempre no lugar de beber cauim, ali atacando as moças","Nd'e'i te'e kunumĩgûasu oîkébo memẽ kagûápe, a'epe kunhãmuku repenhana"
Todos e quaisquer homens que morreram com o amor a Cristo,Pabẽ abá tetiruã Cristo raûsuba bé ogûeromanõba'epûera
Os ferros em mim estão presos,Itá xe resé seni
Eu ronco muito,Xe kerambugûasu
E finalmente?,Tépe?
lua cheia,îasy-obagûasu
"Eis aqui meu arco, eis aqui as farpas","Kobé xe îurupara, kobé arupare'aka"
Imediatamente vais para teu terreiro para cantar,Aûnhenhẽ eresó nde rokápe enhe'engá
"Vou à guerra, vou como guerreiro",Asó gûarinĩramo
"Tocaste nas partes erógenas de uma mulher, atraindo-te por ela?",Erepokokype kunhã rapupé resé sesé enhemomotá?
"Os que não acreditavam nele trabalharam em conjunto, ficando a flechá-lo",Serobîasare'yma potyrõû iî ybõîybõmo
Obedeço às palavras dele,Aînhe'engapîar
Eis que tu mesma me denunciaste,Nde é ã xe kuauká îepé
"Como vês, eu sou muito forte, um diabo que domina as guerras","Irõ, xe ratãngatu, anhanga maranyîara"
"Há um padrinho meu, velho pervertedor dos tupis","Oîkobé xe rubangaba, tupi moangaîpaparûera"
Olha bem para nós!,Ema'ẽngatu oré ri!
Procuramos Jesus Nazareno,Iesu Nazareno orosekar
"Preocupam-se conosco, de costume, os nossos padrinhos?",Onhemosaînãpe amẽ asé rerokara asé resé?
"Eia, hei de ir contigo!",Ne'ĩ t'asó nde irũmo!
"Não faz efeito, às vezes, nosso remédio, fazendo avivar mais a doença","Sarûab amõme asé posangygûaba, mara'ara moîerobu-bé-uká"
Todos os impedimentos do casamento já mencionei,Opá mendara moarûapaba aîmombe'u ymã
Ele dentro dela está ocultamente,A'e i pupé sekó-nhemimi
sua orelha arrancada,i nambi-mondokypyra
Tive a segunda menstruação,Aîeporero'ypok
meu escravo,xe remiaûsuba
sujeira do menino,kunumĩ a'uba
cunha de fender lenha,îepe'a-mobokaba
"o que paga, o que resgata",osepyme'engyba'e
Eu tenho mestre,Xe porombo'esar
Não quero que os índios deixem isso,N'aîpotari abá seîara
Que faz o comungante para fazer Deus ficar consigo?,Marãpe Tupã rasara rekóû o îoesé Tupã mombytábo?
comichão da pele,mbiremonã
Eis que aí pertinho vem,Ebokûeté'ĩ turi
Faço Pedro ser padre,Aîmoabaré Pedro
"Após passar seu parto, Santa Maria levou seu filho Jesus ao templo","O membyrara kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype"
Vereis também futuramente minha vinda sobre as nuvens,Pesepîak irã ybytinga 'arybo xe rura béne
Peido,Apynõ
Levou sua filha Maria quando se completaram três anos,O membyra Maria rerasóû mosapyr ro'y sykeme
"Qual é a causa de nossa alegria, então?",Mba'epe asé moesãîndaba a'ereme?
"Ah, quem me dera esconder alguma coisa do fulano!",Anhomim temõ ahẽ mba'e amõ mã!
Completamente ele me revistou,Opá ahẽ xe subi
"Eia, enforca-os logo!","Ne'ĩ, taûîé i aîubyka!"
Somente o domingo que está no meio dela,Domingo anhõ i pytera rupi okûaba'e
"Vinde, levai os malditos, erguendo-os, para sapecá-los em nosso fogo","Peîori, perasó muru, supi, îandé ratápe sapeka"
"Os bem-aventurados e os santos no céu, que vêem a Deus, ultrapassam o número dos dias que o ano tem","Marangatuba'e, Santos, ybakype Tupã repîakaretá, osasá 'ara ro'y remierekó papasaba"
"saco, teia ou teagem dos miolos",aputu'ũ-aoba
de que lugar?,manõîa suípe?
Perdoa tu nossas maldades,Nde nhyrõ oré angaîpaba resé
"Por acaso estava o maldito com a cintura fendida, balançando?",I ku'a-bok serã moxy oatimunga?
Estou atrás dele,Sakypûeri aîkó
ao longo dos dias,ara rupi
o que está doente,i mara'aryba'e
Parei,Apytá
Que me livre Deus das lembranças ruins,Ta xe pysyrõ Tupã ma'enduasabaíba suí
Por que razão eu o levaria?,Marãmope xe serasóû?
Espremi mandioca,Amiamĩ
Que espécie de mulher é Santa Maria?,Marãba'e kunhãpe Santa Maria?
Fiquei-o oprimindo,Aîopyîopyk
Contas o nome de alguém quando te confessa o padre?,Ereîmombe'upe abá rera abaré nde monhemombegûápe?
"o que faz regozijar-se, o que agrada, o que consola, o ajudador",moîekosupara
Invocaram falsos ditos contra ele,Marã'etenhẽa osekyî i xupé
meu paizinho,xe rubĩ
corpo morto,Teté-kanhema
Envaideço-me sem motivo,Anhemoeté-a'ub
Uma púrpura colocando nele,Amõ aopyranga mondepa sesé
Que não me atraia a lei antiga de meus avós,Ta xe momotar umẽ xe ramỹîa rekopûera
Fazendo alguém ser seu alcoviteiro,O manhanamo abá moingóbo
Que se arranquem de mim meus olhos concupiscentes,T'oîe'ok ixé suí xe resá-poropotara
Abraçando a cintura de teu companheiro,Nde rapixara ku'a îubana
O que conta o que não sabe bem,O eminguá-katue'yma oîmombe'uba'e
Mas não foi nosso pai que fez nosso corpo?,N'asé ruba ruã-tepe asé reté oîmonhang?
"É visto, com efeito, que ela conserva a incorruptibilidade dos cadáveres daqueles",Sepîakypyra niã aîpoba'e re'ombûera o marane'yma rerekó
Ficará injuriando seu marido por ele assim proceder?,Oîa'o-îa'ope o mena emonã sekó reséne?
"Ah, quem me dera o tivesse matado!",Aîuká me'ĩ mã!
Eu vos mato,Ixé opoîuká
Eu estou lacrimejando,Xe resa'y-sa'y
Acariciaste tua namorada com quem brincaste desonestamente?,Ereîmomorangype nde kunhã'yba nde i moîaruagûera?
Essa é uma cidade?,Tabusupe ûĩ?
Tragamo-lo!,Îaru!
O que trabalha no domingo,Domingo pupé oporabykyba'e
"mirra, poção de polpa","mirra, mosanga to'o suí"
Arreganhei os dentes,Xe rãîbitir
-Por isso nós rezamos aos santos? Por isso,-Emonãnamope asé îeruréû santos-etá supé? -Emonãnamo
"Vamos dar uma volta, primeiro",Îaîebyîeby ranhẽ
a sela dele,sendaba
No terceiro dia,Ara nhemomosapyra pupé
pintura dele,i kûatiara
Bem feito que adoeceu!,Iîá omba'easyramo!
Fizeram feridas por seu corpo todo?,Seté îakatupe ybŷá i moperé-perebi?
"então, nesse tempo",a'e remengatutenhẽ
A borboleta tornou-se pássaro,Panama onhemogûyrá
Dizendo palavras más acerca de coisas nojentas,Mba'e-poxy koty onhe'engaíbamo
Eu estou caindo de sono,Xe kerá-kerar
Para a coutada do rei ele foi para cortar madeira,Morubixaba ybyragûype ahẽ sóû ybyrá-'apa
"O ouro era o meio de anunciar que ele era um príncipe, um rei","Itaîuba morubixaba, Reiamo sekó mombegûaba"
"Não perdoam, não são afáveis","N'i nhyrõî, n'i îerekûabi"
no fundo da água,y pype
"Seu sangue era muito, na terra escorrendo, dentro do horto","Sugûy turusu, ybype osyryka, mityma pupé"
Não desiste nosso inimigo de sempre nos tentar,N'i apori oré sumarã îepi nhẽ oré ra'anga
Trazendo um pouco de linha,Inimbó'i amõ reru
"Enfim, o Filho de Deus nos julgará",Rumby Tupã Ta'yra îandé rekomonhangane
Deitando às pressas o capim,Kapi'i anhẽ rerupa
Eu sou muito falante,Xe nhe'engetekatu
"raiz fedorenta, SAPOREMA, doença que ataca as plantas",sapó-rema
Vida longa de minha alma,Xe 'anga rekó-puku
pano de algodão,amynyîu-aoba
arraia pitoca,Îabebyrasyka
Chamusquei o casco dela,Aîapé-ereb
Tosta alguma farinha,Esapek u'i amõ
Diz-se que vou,Asó ra'e
"Mudaste, por acaso?",Ereîakasó-piang?
Adiantei-me,Akûabĩ
"Se o que tem relações sexuais com uma solteira ou por ela se atrai transgride muito a palavra de Deus, tanto mais o que perverte uma casada ou o que se atrai por ela","Mene'yma resé oîkoba'e abiã koîpó sesé onhemomotaryba'e oîabyeté Tupã nhe'enga, memetipó mendara momoxysara koîpó sesé nhemomotasara"
Quantos são os que recebem compaixão?,Mbobype saûsubarypyra?
"Esta agia assim, longe de ti",Emonã rakó sekóû nde suí
"Escondo-me bem, estando deitado aqui",Aîemĩngatu kó gûitupa
Jazo de costas,Oatukupepyterybo aîub
Como se fosse aquele que não morrerá,Akó omanõba'erame'yma berame'ĩ
Para o desaparecimento dos vestígios da maldade de nossa alma,Asé 'anga suí asé angaîpaba rakypûera kanhemagûama resé
Ralando-o,Seébo
Pranteando o que o visita,O supara rapirõmo
Eu sou terrível,Xe taŷgaíb
A senhora desta aldeia compadece-se grandemente das pessoas,Kó tabyîara ndaeté i poraûsubari
Não queiras que te lance no inferno para se vingar de ti,Eîpotar umẽ nde resé o îepykápe anhanga ratápe nde reîtyka
"A chuva ficava amanhecendo a cair, enchendo o mar","Oky-ko'ẽ-ko'ẽ amana, paranã mopungábo"
Ele mesmo certamente me guarda,A'e aé ipó xe rerekó
"Que coisas, pois, hoje eu fiz?",Marã-marã-pakó îeí xe rekóû?
o que é moído,i mongu'ipyra
homem luxurioso,abá-poropotara
"Despiram-no, amarrando-lhe as mãos numa coluna de pedra, fazendo-o estar de pé","Oîaobok, itá okytá resé i popûá i mo'ama"
Princípio da compaixão,Moroaûsubara 'yba
Ela fez seu marido comer o fruto de modo vil,A'e o mena supé 'ybá-'u-ukar-a'ubi
"Nós, ao contrário, havemos de ir ao encontro da nossa pátria","Îandé-te, îandé retama t'ixepenhan"
"Tomaste remédio, não querendo ficar grávida?",Ereposangu'upe nde puru'a-potare'ymamo?
Ainda é muito cedo para isso,Nd'e'i-angáî
Fui na direção do meio das águas,Y-pytera koty asó
"Suas próprias coisas, na verdade, a gente ama em seu coração","O mba'e, nipó, asé o py'a pupé saûsubi"
"O cauim transbordante nas igaçabas, depois disso, os atrai","Ygasápe kaûĩ-tuîa, a'e ré, îamomotá"
"Que sejais futuramente os que terão a verdadeira felicidade na nossa terra desejada, no céu","Ta peîkó irã mba'ekatueté rerekoaramo îandé retãpotasápe, ybakype"
Durmo amiúde,Aker-akerĩ
"diabo mau, assassino","anhangaíba, morapitîara"
Fazer feder esta aldeia com o desejo sensual,Kó taba monema moropotara pupé
Mas será que foi mesmo?,Osó-tepe ra'e é?
Queimar-vos-ão as chamas!,Pe rapy tataendyne!
Antigamente pescava bem os peixes,Akûeîme rakó pirá asekyî-marangatu
Faço-as umas atrás das outras,Aîmoîoakypûé-kypûer
ao vir a lua para visitá-la,o supa îasy rureme
Quase fui,Asosûé
"coisa manifesta, pública, coisa notória por ser vista",ikatupendûara
"Ao comer junto de seus discípulos antes de sua morte, no dia posterior",Oîrã o e'õ îanondé o emimbo'e pyri o karûápe
Eu estou com dúvida,Xe 'angetaetá
Fiquei-o tocando,Aîakãî-akãî
Haveis de bem recobrar o fôlego após vos cansardes,Ta pe putuẽngatuté irã pe îemokane'õ ré
E porventura na hóstia está Jesus Cristo?,A'e serãne hóstia pupé Îesu Cristo rekóû?
Por que haveria eu de o levar?,A'emop'ixé serasó-a'ubi é?
Abundar-me-á futuramente toda a felicidade desejada,Xe resemõ irã mba'ekatu-pabẽ i potarypyra
Sua mãe o pôs no lugar onde estava a manjedoura deles,Semi'uru rupápe i xy i nongi
"Dançaram a noite toda, fazendo feitiçarias","Oporaseî pysaré, oîemopaîeangaípa"
Enfrentamo-nos,Oroîobaîar
Acaso estava o maldito com a cintura fendida?,I ku'a-bok serã moxy?
"quebrador de pedras, cavouqueiro",itá kasara
Santa Maria é o nome dela,Santa Maria sera
Que olhe para nós o neném compadecedor,T'oma'ẽ îandé resé pitangĩ-moraûsubara
"Mas agora, por minha causa, dentro de uma casinha estás","A'e ko'y, xe resé, ó-mirĩ pupé ereîkó"
ferrugem do ferro,itá repoti
Dói muito ao homem perceber sua morte,Sasy-eté abá supé ogûe'õnama anduba
Tu me alegras muito,Xe moory-katu îepé
Querendo furar os buracos das orelhas da gente,Asé apysakûá-puka potá
Dei uma cambalhota,Anheatĩapyr
O anjo da guarda está perto?,Karaibebé i ko'ĩ?
"Adão, nosso primeiro pai, fez-nos perder verdadeiramente, para nos queimarmos no fogo do diabo","Adão, oré rubypy, oré mokanhemeté, Anhanga ratápe nhẽ oré kaîaûama ri"
minha ausência,xe roŷpyre'yma
Eu manquejo,Xe parĩ
"E os rapazes que perseguem mulheres, querendo escravas?","A'epe kunumĩgûasu kunhã oîmomosemba'e, miaûsuba potá nhẽ?"
"ajuntamento de cana-de-açúcar, canavial",u'ubae'ẽndyba
"Mas a ti, sobram-te galinhas e porcos","Endé-te, nde resemõ arinhama, taîasu"
Eu tenho barba ruiva,Xe rendybaá-îub
"Fiz cilada contra o inimigo, matando-o",Aîkupe'ab tobaîara i îukábo
ao te trespassar o vento,ybytu nde rasapápe
orelhas caídas,nambi-xoré
"Adversária da morte, senhora da vida","Te'õ rupîara nhẽ, tekobé îara"
dificultando a primeira menstruação,nhemondy'ara mo'ybatatãmo
Vivendo para ir ao encontro da virtude,Tekokatu repenhandápe peîkóbo
Mas seria difícil para as pessoas comer minha carne,A'e iîabaíbymo abá supé xe ro'o 'u
Oponho-me a ele,Asobaîxûar
Choravas sempre,Ereîase'o îepi
o namorado de tua filha,nde raîyra aba'yba
Tão logo vindo ele,Oú abé
"lanço da ocara, a parte da ocara contida entre, por exemplo, duas ocas",okarapupa'ũ
Mas não enfiará a gente a mão em sua boca para parti-lo?,Nd'opo'ẽî xûé-tepe asé o îuru pupé i mbo'iragûama reséne?
"É bonita esta igreja, contendo muitos enfeites!","I porang kó tupãoka, îegûakabetá rerupa!"
a descida dele,seroapy'ambaba
Não querendo sua infelicidade,Sekomemûã potare'yma
Erra muito o homem que se fica fazendo pajé?,I angaîpabetépe abá onhemopaîé-paîébo?
Tu no paraíso para sempre estás,Endé tupãrorypápe aûîeramanhẽ ereîkó
"O que, dizendo em vão ""-Eis que é assim, por Deus"", não o cumpre","I pore'ymba'e ""-emonã kó Tupã resé"" o'îabo tenhẽ"
Desdisse minhas palavras,Asekobîarõ xe nhe'enga
É ele o que dá o bem desses,A'e aé koba'e katu me'engara re'a
"São Pedro, com seus companheiros, tomou como apóstolo a São Matias, após subir Deus-Filho ao céu","São Matias, ybakype Tupã Ta'yra îeupir'iré, S Pedro o irũ-etá resebé tari apóstoloramo"
Temo por ele,Aronheangu
"Sê tu guardião de mim, sob tuas mãos colocando-me","Nde morerekoar xe ri, nde pó gûyrype xe nonga"
campo limpo,nhũ-asyma
Leva-o completamente,Ererasó nhetekatunhẽpeũî
"Salve Rainha, nossa esperança",Salve Rainha oré îerobîasaba
Eu chorei até ficar com olhos avermelhados,Xe resaapytãpytang
Que te regozijes muito com a virtude,T'ereîekosubeté tekoporanga resé
Bebendo cauim durante a noite,Putuna rupi okagûabo
enfeites do rosto,tobá posanga
malha de algodão grossa para a defesa na guerra,amynyîu-aó-poanama
Eu tenho secura na garganta,Xe aseó-tining
os que vêm do lado em que nasce o sol,kûarasy sembaba koty suí ouryba'e
Eu tenho sorte com animais,Xe mba'e-porang
canavial,takûare'ẽ-ndyba
Penteio-o,Aîabyky
Certamente vemos sempre as marcas de seus pés,Anhẽ serã îasepîak îepi i py-pora
"São Pedro puxou a espada, cortando sua orelha",S Pedro itangapema osekyî i nambi mondoka
A gente morrerá com sua crença também?,Serobîara bépe asé ogûeromanõne?
"Um rapaz, não chegando aos catorze anos, não pode casar-se com ninguém","Kunumĩgûasu catorze ro'y resé i xyke'yma, nd'e'ikatuî abá resé omendá"
Ainda bem que Deus me livrou do diabo!,Aûîeteramo rimba'e Tupã xe pysyrõ Anhanga suí re'a
água sem mistura,y anhẽ
Apartá-lo-íamos dele precisamente depois disso?,Îaîpe'a nhẽmope i xuí a'e roîré katu?
"Fica muito feliz, de fato, o homem que se defronta com a morte, encontrando o que cura",Sorybeté rakó abá tegûama porarasara moroposanongara supé ogûasema
A mim certamente é que vós procurais,Xe ipó xe rekar peîepé
Arrancando suas aflições,I poraûsuboka
Homem coitadinho,Abá-poreaûsubĩ
companheiro dele,i irũ → irũ
Fui ao caminho dele,Asapependûar
Que se abstenha ele de dizer isso,Te'itenhẽumẽ ahẽ aîpó o'îabo
Irritando-se com o diabo,Anhanga pé oîemoŷrõmo
Mordo-a,Anhagûãî
Pus espertadura nela,Aî'atype'apá-moín
Picar-me-ia o marigui,- Xe su'umo marigûi
mulher bondosa e estéril,kunhã-marangatu-membyre'yma
Todas as nuvens que caem do céu cobrirão a terra,Yby opá ybytinga ybaka suí o'aryba'e i aso'iûne
esse mesmo,ebokûé aé
Não se afligem por nada,N'oîkotebẽî ma'e amõ resé
a que ingere veneno,mosangygûaba gûara
"Oh, que fulano este!",Te'ĩ kó ahẽ mã!
"o que rompe o sangue de uma moça, o que a desvirgina",kunhataĩ rugûy kasara
colares azuis,mo'yrobyeté
Eu tenho muitos,Xe retá
Limpou seu rosto com um pano branco,Osobá-syb aó-tinga pupé
Apenas não me faz morrer,Sa'ĩ na xe momanõî!
Meteu-te pelo pescoço,Nde mondeb o aîurybo
Escarneceste de mulheres?,Ereîemoîoîaîpe kunhã resé?
Sou muito mocho,Xe aterẽngatu
Como ele nos fez?,Marãpe asé monhangi?
Penteio-me,Aîeabyky
Só isso está acima de tudo o que deve ser desejado,A'e anhõ opakatu i potarypyra sosé
"Assim que acaba a vida que Deus nos dá, a morte nos derrota","Tekobé îandébe Tupã remime'enga syka bé, te'õ îandé moaûîéû"
"A mãe de Deus, senhora desta aldeia, não queirais apresá-la","Tupã sy, kó tabyîara, na pemoembiá-potari"
"Salve Rainha, mãe de misericórdia","Salve Rainha, moraûsubara sy"
Talvez ele fosse se eu dissesse,Osó ipóne re'a gûi'îabo mona'ẽ
Querendo confessar-se segundo o que determina a ele a Santa Madre Igreja,Oîemombe'u-potá Santa Madre Igreja i mombe'u rupi
Selecionei-o,Aîkatu'ok
"Embora me evoques os atos, daqueles arrependo-me","Xe rekó-ekyî îepé, a'epûera aîmoasy"
Basta! Não me despertes!,Aûîé! Teumẽ xe mombaka!
como criança estando deitado,pitangamo oupa
pescando bem os canapus,kunapu rekyî-etébo
Futuros defuntos somos todos nós,Ambyrama pabẽ îandé
Tenho jeito para a coisa,A'ekatu mba'e resé
Pode a gente não proceder conforme o mandado do padre?,E'ikatupe asé abaré o pûaîtagûera rupi oîkoe'yma?
"Sendo assim, de costume, o diabo fica muito insistente pela gente",Nãneme amẽ Anhanga îeîukaibetéû moroesé
"Hás de ir, pois, para teu fogo, para que estejas para sempre prostrado no lugar em que se faz sofrer","T'eresó rõ nde ratápe, aûîerama t'ereîub moreaûsuba monhangápe"
Assim procede para disfarçar a existência de seus filhotes,O a'yra kuakupa emonã sekóû
Toma mais outro,Eîar-y bé amõ
"Mostra-se fixo, está fixo, apresenta-se fixo",Ten e'i
Eu estou benzido,Xe karaíb
Por que põe sal bento na boca da gente?,Mba'e resépe îuky-karaíba mondebi asé îurupe?
Maior que esta casa,Kó oka sosé
É muito misericordiosa a mãe de Deus,I poraûsubá-katu Tupã sy
Bem no teu coração disseste isso?,Nde py'ape-katupe aîpó eré?
"Apesar de que sejas rainha, apesar de que sejam muitos os teus servos, eu, não obstante, pesco para ti","Reîamo ereîkó tenhẽ, setá tenhẽ nde boîá, xe-te t'oroporaká"
sendo coisa antiga,o mba'epûeramo
por um triz que não,-sûerĩ
"É doloroso deixar o vício, a vida má, contudo, depois disso, o homem consola-se muito","Sasy tekopoxy, tekomemûã pe'a biã, aûîeté a'e roîré abá apysykaturamo"
O que leva aquele que recebe o óleo santo em sua testa não pode casar-se com ele,O sybápe îandy-karaíba rasara rerasoara nd'e'ikatuî sesé omendá
"Daqui, certamente, passou para a Índia, terra dos indianos",Ké suí serã i asabi India tapyîtinga retãme
Hei de contar os pecados deles para que tu acredites em mim,T'aîpapáne i angaîpaba ta xe rerobîá îepé
Estou derrubado,Aîero'ar
Estai aqui esperando-me,Iké nhẽ peîkó xe rarõmo
"Hei de ir cumprir essas palavras, juntando muitos dos meus servos","T'asó aîpó nhe'enga mopó, xe boîá reŷnhangetábo"
Sigo-lhe o rastro,Asakypûemomosem
tua excitação pelas coisas más,Mba'e-poxy resé nde ara'a
"Que sejamos corajosos, sim","T'oré pyatã, angá"
Que cheire muito bem a palavra de Deus a ele,Ta syapûãngatu Tupã rekó i xupé
Eis que a cada Páscoa um prisioneiro fazeis-me libertar sempre,Aretegûasu îabi'õ ã mundepora amõ îepé peîmosem-ukar ixébe îepi
As criancinhas também têm somente o pecado de nosso pai primeiro,Pitangĩ abé îandé rubypy angaîpaba nhõ ogûerekó
"Conhecendo esses teus pecados, sinto que tu queres ir para o fogo do diabo","Iang nde angaîpaba kuapa, anhandub Anhanga ratápe nde só potara"
"Por isso, na verdade, é que a gente detesta o pecado mais que a morte?",Nd'e'i te'e ipó asé pecado moabaetébo te'õ sosé?
"A dança é que é boa, enfeitar-se, pintar-se de preto","Moraseîa é i katu, îegûaka, îemoúna"
"Mostra-se com firmeza, está fixo",Ten e'i
Nem sequer um só homem pode livrar-se da morte,Oîepé tiruã abá nd'e'ikatuî oîepysyrõmo te'õ suí
"Ainda bem que vós três, novamente, queimareis juntos",Iîá mosapyr-y bé pekaî oîepegûasune
não indo ao encontro de meu senhor,xe îara robaîxûare'yma
"Salve, ó meu mestre!","Eîkobé-katu, xe mbo'esar gûy!"
"Eis que minha alma, lugar de tua vinda, há de estar como teu leito","Kó xe 'anga, nde rusaba, nde rupabamo t'oîkó"
Afrouxei-o,Aîmokanãî
"Irrita-o, empurra-o para seu fogo","Oîrarõ, oîmoanhã satápe"
"Ah, eu fui muito pecador!",Xe angaîpabeté'i ra'u mã!
Ó! Não há modo de contar isso,Tó! Aîpó n'i papasabi!
"É penoso, de fato, remar canoa",Sasy nakó ygá-pukuîa
O que não quer ir para onde está o que ele detesta para não o ver,O emiamotare'yma rekoápe osó-potare'ymba'e sepîaka suí
todos de uma espécie ou qualidade,oîepeixûara
"Serão fedorentos, serão muito podres, corroídos de vermes e de bernes","I nem-eté, i tuîuketé, tasoka, ura remimongûyamone"
"Caburé, vem correndo!","Kaburé, îori enhana!"
Não nos queremos bem,Nd'oronhoamotari
Asperge também a gente as sepulturas com água benta?,Osepyî bépe asé tyby 'y-karaíba pupé?
Estou quieto,Aîubĩote
dia muito bom,arangaturam-eté
"E aquelas mulheres não resistem, combatendo-os?",A'epe a'e kunhã n'onherani i momarana?
Vê bem a tua frente para que não te percas no caminho do céu,Esepîá-katu nde renonderama ybaka pîarype nde ropare'ymamo
Chegaste perto junto a eles?,Mbype erebasẽ i xupé?
"Amando os homens, nós nos preocupamos com eles",Apŷaba raûsupa nhẽ oré putupá sesé
Vingo-me deles,Aîeepyk anhẽ sesé
A cobra deixa sua própria vida ao pisarem sua cabeça,Mboîa o ekobé reîari o akanga patukasagûerype
Não sentimos cansaço,N'îaîandubi kane'õ
"Morro falsamente, isto é, desmaio, desfaleço",Amanõ-aíb
Prendi-o a uma pedra,Aîmoín itá resé
Quem aqui dá a cara?,Abápe ké sobasẽ?
