source,reference,translation
"Eis que era costume, por ocasião disso, pôr nome Assim, puseram como nome dele ""Jesus""",Ã tekó a'ereme moreroka Ké bŷá Îesus nongi seramo,"Aûîé serã i nhemimombe'u Aûîé, i xuí ""Jesus"""
Que lancemos fora nossa maldade,T'oroîtyk oré poxy,T'oîaîuká îandé rekóû
"Tremo, ambas as minhas coxas adormeceram","Aryryî, opá xe uba îesyî","Aîeîebyb, aîeîebyrõ xe îuká"
"Eu tenho uma caminhada ligeira, ando depressa",Xe atá-pûan,"Xe nhe'ẽngatu, xe nhe'ẽngatu"
As doenças da alma do homem com ela saram bem,Abá 'anga mara'ara i pupé opûeîrá-katu,Abá 'anga rekóû i mombegûabo
"Vituperaste pelas costas a teu pai, a teu mestre?","Ereîkupeanga'ope nde ruba, nde mbo'esara?","Ereîmoeîukápe nde ruba, nde rapixara?"
"Em vão eles se esquivam, querendo fazer passar as flechas","E'i tenhẽ onhemoîtỹamo, u'uba mongûá-potá","Îasó i xuí i îukábo, i moîaîukábo"
"Contudo, após sua morte, no terceiro dia voltou a viver","Aûîeté, gûe'õ ré, 'ara mosapyra resé bé sekobeîebyri","Aûîé bé, o 'ara pupé, 'ara pupé rekóû"
Eu estou poento,Xe yî,Xe apy'a
"As crianças habitantes da aldeia de Belém e também as habitantes das suas vizinhanças mandou assassinar, nelas querendo incluir Nosso Senhor","Taba Belém pora pitanga i amundaba pora abé apitiukari, sesebé Îandé Îara moîese'a-potá","Belém 'anga pupé abaré abaré, bé o boîá o boîá rerekóû, i moîeaîukábo Îandé Îara rerekóû"
bola de madeira,ybyrapu'a,ybyrá
"Ah, quem me dera não ter transgredido outrora tuas palavras!",N'aîabŷî xûé temõ erimba'e nde nhe'enga mã!,Aîpó-te'ĩ nde nhe'enga nde nhe'enga nde nhe'enga!
o que é felpudo,i îatyrá-tyraba'e,i apypy'a
Uma roupa vermelha colocando nele,Amõ aó-pyranga mondepa sesé,Y-pyrá-pyrá-pyrá sesé
"Enfim, o que não é pranteado ressente-se de não o honrarem",Aûîé sapirõmbyre'yma o moetee'yma oîmoasy,"Emonã, o emonã-potá-potá resé oîepé-potare'yma"
Eu tenho o rosto muito curubento,Xe robá-kuru-kurub,Xe robá-katu
Como diz o primeiro deles?,Marã e'ipe iîypy?,Marãpe serã sekóû?
Dizem que é assim,Emonã i'e ra'e,Osó é
Faze uma igreja que tenha meu nome,Xe reryîara tupãoka eîmonhang,Oîkobé Tupãoka xe retama
Fiz-me homem,Xe abagûasu,Aîmonhang
"Eia, vai!",-Ene'ĩ esóbo!,"T'îasó, kûé!"
Não é muito forte o homem branco,Na satãngatuî maíra!,Nd'e'i te'e abá abá
Ferrei-o,Asapy,Aîa'ok
De modo algum os temiminós tiram seus nomes antigos,Nainanĩ temiminõ o erumûana mombó,Temiminõ-katu temiminõ i nhe'enga-katu
Queres que ele te coma?,Ereîpotápe nde 'u?,Ereîukápe nde resé nde resé?
Há poucos dias mandaste tua esposa como espiã,Kûesé nde remirekó manhanamo ereîmondó,Mbegûé amõ nde remirekó nde remirekó
"sobre os ombros de duas pessoas, de um e do outro ombro",o îoati'yba ri,amõgûasu
"Eu, o diabão assado",Xe anhangusu-mixyra,"Xe, anhanga ra'anga"
o terceiro deles,i mosapysaba,i xuí i xuí
O destino final das coisas dos homens,Abá rekó mondykaba,Abá re'õ resé rekóû
Eu tenho muita felpa,Xe rabusu,Xe robá-puku
"Se ele tem muita dor quando o empalidece e quando o deixa doente aquilo que se abrandará, quanto mais aquilo que não se abrandará","O moaîureme o momara'areme a'e i arybeba'erama biã sasyeté, memetipó i arybeba'erame'yma","I angaîpaba'e-katu oîepé-katu oîepé-katu oîepé-katu oîepé-katu, oîepé o angaîpá-katu oîepé"
"Tentastes em vão, por pouco tempo, não dormir perto de mim",Pesa'ang îepé korite'ĩ nhõte xe pyri pekere'yma,Peîepé-te'ĩ-te'ĩ nd'e'ikatuî xe resé
Tendo medo de que alguém o maltrate muito,abá ogûerekomemûãeté suí onheangûabo,Abá o emonã-potá-potá
"Eles são, realmente, muito fortes",Satãngatu-te nipó,I xuí-katu
"Querendo devorar suas almas, a noite toda não dormi, absolutamente",I 'anga 'u-potá é pysaré n'aker-angáî,"O 'anga resé rerekóbo, a'ereme te'õmbûera n'ikatuî"
Pode a gente trocar seu próprio nome?,E'ikatupe asé ogûera rekobîarõmo?,Osó-potápe asé asé i nhe'enga?
Suspeito dele acerca de meu dinheiro,Aîmondar ahẽ xe itaîuba ri,Xe robá resé i py'a resé
Estavam dormindo por causa da aflição,Oker okûapa tekotebẽ suí nhẽ,Oîepypysy oîepysy oîepysy îanondé
"Os cristãos, na verdade, não pecam pouco","Karaíba, ipó, n'oîkoangaîpá-pyrybi",I angaîpaba n'aîpó-potari
Eu tenho diarréia,Xe rybykasy,Xe nhe'ẽ
"Depois disso, vamos quebrar as cabeças dos reis",A'e ré kori îasó tubixaba akanga kábo,"A'e rekóû, t'îasó îaîuká-poxy"
Oh! Quem aqui dá a cara?,"To, ahẽ! Abápe ké sobasẽ?",Abá! Abápe abá 'ara?
"Os habitantes do céu afligiram-se, vendo-o humilhar-se",Ybakygûara onhemoputupab i nhemomoreaûsuba repîaka,"Ybaka resé i moîeaûîé, i moîeaûîé"
"o que escurece roupas, o tintureiro",aó-moundara,ybyrá-pyrá
O que te põe nu,Ikatupe nde moĩndara,Nde resé nde moingóbo
Esbofeteei suas mãos,Aîpó-petek,Aîmoaîu-mokuab
"Não serão somente poucos anos, mas para sempre",Na mboby nhõ ruã akaîu-'aîubane aûîeramanhẽ-te,Nd'e'i te'e nhõ oîepé-potá
"Eia, hei de ir contigo","Ne'ĩ, t'asó nde irũmo","Ne'ĩ, nde pyri nde ri"
Os cabos são achatados,Yba i peb,I kabûaîpaba
"Até mesmo seus ossinhos a gente cultua, tendo-os no pescoço","Asé i kangûerĩ tiruã momba'etéû, o aîuri serekóbo","I kagûasu îabé asé îukábo, i moîaîukábo"
Fiz frustrar aquilo que fulano faria,Aîmorambûerukar ahẽ rekorambûera,Aîpotarĩ aîpó aîpotarĩ
Eu tenho pés calejados,Xe py-piru'a,Xe pyk
"Eu mesmo, como se viu, já vos disse isso",Ixé aé ã a'é umûã nakó peẽme,"Xe-te, te'õ-katu, ã pegûaîa"
"Vinde, abraçai o neném compadecedor","Peîori, peîaîubã pitangĩ-moraûsubara","Peîori, kunumĩ nenémomombegûara"
"o mais cedo possível, em um momento",korite'ĩ-aíb-eté,kûeîba'epûera
Acovardo-me,Amembek,Aîuká
Como a gente procede para o cumprimento da vontade de Deus?,Marãpe asé rekóû Tupã remimotara moporagûama resé,Marãpe asé Tupã rerekoara resé sekóû?
Coisa beiçuda!,Mba'e-embegûasu!,Mba'e-eté!
"Ah, oxalá ele viesse!",Marãîasûaramo turi mã!,Aûîé ahẽ ereîuká!
Trouxe muitas destas ostras,Aruretá kó reri,Aîuká aîuká aîuká
Que não esteja o maldito perto de mim,T'oîkó umẽ moxy xe ypybo,T'oîkuab-e'ẽ ixé re'a
Eu tenho cachaço grande,Xe aŷpygûasu,Xe kaîaîaî
Fi-lo mal,Aîmonhã-memûã,Aîmonhang
Cresceram muito as águas,Our paranã - Subiu a água do mar Ourusu 'y,Yby-y-y te'õ
Por que a gente se persignará muitas e muitas vezes?,Marãnamope asé îobasabetá-etáûne?,Marã-marã-marã-marã-marã-marã?
"E o que evoca a Deus pelo que não é verdade, que acontece?","A'epe supindûare'yma resé Tupã renõîndara, marã?",A'epe Tupã nhe'enga rerekóû o 'are'yma rekóû?
Entisnei o rosto dele,Asobaún,Aîapy'a-py'a
Que o deixem estar,Te'inhẽne oîkóbo ká,T'oîmoîa'ok i xuí
Fazendo-o estar com firmeza,Ten i mo'îabo,I moingóbo i moingóbo
Olhando na ponta dos teus olhos,Nde resá-popybo ema'ẽmo,Nde pópe nde 'anga pupé
"Confessa-se alguém antes de ir à guerra, antes de embarcar num navio?","Onhemombe'upe abá gûarinĩnamo o só îanondé, ygarusupe o 'ar-y îanondé?","Oîoîoîabype abá koîpó karaibebé, oîoîoîoîebype abá supé?"
"Vem para espantar o maldito, para que não invista contra nós","Eîori muru mondyîa, t'opu'am umẽ oré ri","Eîori muru suí, t'oré n'omonhangi îandébo"
Qual? Aquele Lourenço tostado?,Umã? Akó Rorẽ-ka'ẽ?,Mba'epe? A'epe Lourenço-katu?
"Hei de frequentar Ibioca, revirarei também Itaoca e, enfim, Jupaoguaó","Ybyoka asapekóne, Itaoka abé aîpobu, rumby, Îupaogûaóne","T'asó Ibioca, te'õ Itaoca, te'õ, Jupaogûaó"
pó de madeira,ybyrá ku'i,ybyrá pó
Nem por isso eu vou para longe,Ndaroîaî mamõ xe sóû,Nd'e'i te'e xe rekóû
"Vem, coisa fedorenta, coisa nojenta, borá!","Eîori, mba'enem, mba'e-poxy, mborá!","Eîori, îuká-poxy, îuká-poxy, borá!"
"Eu estava, mesmo, esquecendo, não que o quisesse omitir","Xe resaraî é gûitekóbo, n'aseîá-potá ruã!","Xe ra'ĩ, oîepé, oîepé-potare'ymamo"
Não o teríamos trazido a ti se ele não tivesse pecado,N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo,Nd'e'ikatuî nde resé nde angaîpaba nde resé
Eu sou o que é rico,I mba'eba'e ixé,Xe rekó
Algo semelhante a um navio,Ygarusu nungara,Umãî rakó rekóû
saca,aîogûasu,aîuká
Caminhei o dia todo por causa da tua fama,Agûatá ko'arapukuî nde rerapûana resé,Aîme'eng-eté 'ara nde rekó resé
Com meu cônjuge verdadeiro somente hei de ter relações sexuais,Xe mendasabeté resé nhõ t'aîkóne,Xe nhe'enga'u-eté gûyrá-potá
Apartaste alguma mulher de seu marido?,Ereîmombo'irype kunhã amõ i mena suí?,Ereîmombe'u amõ kunhã o membyra resé?
Vem para nos arrebatar,Eîori oré rekyîa,Eîori îandé moîuká
Ainda que eu já tivesse ido,Aûîebé-temo xe só-umani,Aûîé xe rekóû ipó
"Eu tenho propensão a esquecer, eu sou esquecidiço",Xe resaraî-potar,Xe moaîu-potare'ym
"Eia, afasta-me depressa!",Ne'ĩ taûîé xe reîyîa!,"Ene'ĩ, xe potá-potá!"
"muitos outeiros, serrania",ybyty-bytyra,kagûara
Com algumas coisas que são saborosas,Amõ seba'e irũmo nhẽ,Opá-potara resé
homem sovina,abá-pûapẽîara,abá suí
Tu foste torpe com alguma irmã de tua esposa ou com sua parente próxima?,Nde poxype nde remirekó asykûereté amõ resé koîpó i mũ-mbyryba?,Nde torpe amõ nde remirekó resé nde remirekó resé?
Eu não tenho boca sossegada,Na xe îuru-pyki,Na xe nhe'enga'ub
Ele passou diante de Ilhéus,Nhoesembé robabo i kûáî,I xuí Ilhéus ikóû
"Na verdade, não são conhecedores das coisas","Anhẽ, n'i tekokuabi",Nd'e'i te'e amõ resé
"Amarraram-no com corda, fazendo-o estar em pé",Oîxamysyk sero'ama,Oîoîoîoîeby'a oîoîoîoîoîoîoa'o
Levando nossa alma para o céu,Ybakype asé 'anga rerasóbo,Îandé 'anga ybakype
experimentando poções de ervas,ka'a mosanga ra'anga,yba'e resé oîepe'yma
Esfreguei a pele dele,Aîpi-momemûã,Aîabybybyk
Aquieta-te Verdadeiramente este é teu caminho,Nde arybé Anheté kó nde rapé,Nde peîeîepé Erimba'e aîpó nde rekó
Guarda-te de o levares,Teumẽ ké serasóbo rá,Te'õ t'ereîuká
Anunciando nossa futura felicidade,Asé rekokaturama mombegûabo,Îandé rekó rekó îandé rekóû
Estou-me agachando,Anhemombeb gûitena,Aîebyrõ
"Que queimem em teu fogo, para que os pecados dos malditos tenham retribuição","T'okaî nde ratá pupé, ta sepy muru angaîpaba","T'oîuká nde ratá, ta angaîpaba angaîpaba resé"
o que eu ensinei,xe remimbo'epûera,xe remi'u
estes que estão em Ibiapaba,kó Yby'apapesûara,Ibiapaba rekóû
Serão muitos os fatos que assustarão as pessoas,Setá tekó oporomondyîba'ene,Oîepé-katu abá moaûîé
além do rio,y robaî,yby pupé
"Eu sou uma jibóia, eu sou um socó, eu sou o grande tamoio Aimbirê","Xe îyboîa, xe sokó, xe tamuîusu Aîmbiré","Xe robáîa, xe soko, xe tamoí Aimbiré"
Ele é o anjo que encomenda o enforcamento,"Karaibebé a'e, moroîubyka puaîtara",I angaîpaba'e aîmoîebyba'e
Cá vem um barco Não faz senão ir,Kó ygara ruri Osó-te,Kó aîpotare'yma N'aîpotare'ym-angáî
Contando as maldades escondidas de alguém para quem não as conhece,Abá angaîpá-nhemima i kuapare'yma supé mombegûabo,Abá rerekoara resé o emonhangûera resé o emonhangûera resé
o que é convidado,i xo'opyra,i îuká-uká
"Eu hei de bem apanhar-te, fazendo-te cair no meu mundéu","Xe t'oropysykatu, xe mundépe nde mbo'a","Xe reroú-potá, xe 'ara pupé nde reîá-potá"
Encarreguei Pedro da lenha,Aîopûaî Pedro îepeaba resé,Aîmoaîubytá Pedro ybyrá
"Dormes, Guaixará?","Ereképe, Gûaîxará?","Enhegûasu, Gûaîxará?"
Quantas vezes te confessaste ou comungaste?,Mobype erenhemombe'u koîpó eretupãar?,Mba'epe nde resemombegûápe erimba'e?
o avesso dele,i py,i nhe'enga
"Se o que Deus fez neste mundo é muito belo, quanto mais lá, o céu primeiro","Ikó 'ara pupé abiã Tupã remimonhangûera i porãngatu, memetipó ebapó ybakypy",Tupã remimombe'u resé ikó 'ara pupé ikó-potare'yma
Farei todos pecarem de novo,Aîmoangaîpá pá benhẽne,Aîpotá-potá
o doente que está ao teu lado,mba'easybora nde kotypendûara,nde repîaka pupé nde remirekó
Invocando a Deus ou sua própria alma ou a cruz ou algo verdadeiro,Tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa,Tupã nhe'enga o 'anga nhe'enga rupîara nhe'enga
Sabem bem de sua futura saída dali?,Oîkuá-katupe a'e suí o semagûama?,Osó-katupe sekó-katupe aîpó?
O cão é ávido,I mba'e-potar îagûara,Îugûara i aîuká
"Fizemo-nos passar uns aos outros, passamos uns com os outros",Oroîoerokûab,Oroîoîoîoîoîoîoí
Que ele faça Deus lembrar-se de nós,A'e îandé resé Tupã t'omoma'enduar,T'oú Tupã resé oré resé
Amando tua grande beleza,Nde porãngatu raûsupa,Nde nhe'enga rupi nhote
"Cantemos um pouquinho, primeiro",T'îanhe'engá-mirĩ ranhẽ,T'îasó-te'ĩ
Falo irritadamente,Anhe'ẽ-îeaseî,Aîepé-eté
tempo de rogar a Deus pelas almas,angûera resé Tupã mongetasagûama,Tupã 'anga pupé nhe'enga
Ficaste detendo contigo alguma pessoa?,Ererokûé-rokûerype abá amõ?,Ereîmoîebype nde resé abá resé?
Afasta-te!,Eîepe'a!,Nde moaîuká!
Deleita-me muito,Xe moapysy-katu,Xe moîepé-katu
"Estando virgem, mesmo dando-o à luz, antes de dá-lo à luz e, igualmente, após dá-lo à luz","I mbo'a tiruã, i mbo'ar' e'ymebé, a'erame'ĩ i mbo'ar'iré, omarane'ymamo","Oîoîoîoingóbo a'e oîoîoîoîoîoîoîoîoîoîoîoîoîoîoîoîo, a'e oîoîoîoîoîo"
Pintei-o,Aîkûatiar,Aîa'ok
no fim do mundo,ara papápe,ybype 'ara pupé
"Tu, em teus braços, Jesus ergueste","Endé, nde îybápe, Îesu eresupi","Endé, nde îybápe, Îesu îukábo"
Desde ontem não como nada,Kûesé bé mba'e n'a'uî,Tupã suí n'i n'ikatuî
Que venhas para levar-me para o alto,T'ereîu ybaté xe rerasóbo,T'oú t'oú xe rerasóbo
Estou à parte,Aindé,Asó a'é
Todos os bens de meus avós joguei fora,Opá xe ramyîa ma'epûera aîtyk,Opá xe avó rekóû gûabo
Se não fosse ele ter ido,Osó é ahẽ îabynomã,Nd'e'ikatuî a'e
Hoje mesmo hei de fazer-te ir,Kori é t'oromondóne,Kori amõ t'ereîuká
"Estai aqui esperando-me, junto de mim, não dormindo","Iké nhẽ peîkó xe rarõmo, xe pyri, pekere'yma","Kó xe rekóbo, xe rekóbo, xe rekóbo"
Como criança está nos braços de Maria,Pitangamo seni Maria îybápe,Ké kunumĩ oîepéû Maria py'a pupé
"Eu mesmo, como se viu, já vos disse isso",Ixé aé ã a'é umûã nakó peẽme,"Xe-te, te'õ-katu, ã pegûaîa"
Tu deste à luz por tua vontade?,Nde membyrápe erimba'e nde remimotarybo?,Nde rorype nde rerekó resé?
Amando tua grande beleza,Nde porãngatu raûsupa,Nde nhe'enga rupi nhote
Daí virá para julgar todos os que vivem e os que morreram,A'e suí turi oîkobeba'e omanõba'epûera pabẽ rekomonhangane,Kó ruã taûîé amõ rekóû oîmoeté rekóû oîmoeté suí
Por nos amar mais do que nossa mãe ama seus próprios filhinhos,Asé sy o membypitanga raûsuba sosé asé raûsume nhẽ,Îandé ruba îandé rubyme'enga rerekóû i nhe'enga pupé
Mais que a todos os seres humanos embelezou-a,Abá sosé pabẽ i momorangi,Opaîpaba'e rekó îepé i xupé i îukáû
Não mato,Aîukae'ym,Nd'oîpotari
Dar de comer aos famintos,Ambyasybora poîa,Oîoîoîoîoîa'ok
Por aí as mulheres casadas ficavas pervertendo,Kûepe kunhã-mendarûera ereîmomoxy-moxy,A'e kunhã-poxy kunhã-poxy
ajudante de São Lourenço,São Lourenço pytybõana,São Lourenço rerekoara
Trouxeste teu fumo?,Ererupe nde petyma?,Ereîubype nde nhe'enga?
ajuntamento de cipós,ysypó-tyba,itá-ypy'a
Matai-o!,Peîuká!,Aîmoîuká!
"Destruiu outrora os tamoios, os valentes","Tamũîa, kyre'ymbagûera, omombab erimba'e","Oîoîoîoîoîoîeby'a rakó tamoîa, kanhemi"
Por que minha mãe me deu à luz outrora?,Marã-pakó xe sy xe mbo'ari erimba'e?,Marãpe xe ruba xe 'ara reîa?
"esteio, alicerce de casa",okytá,aîuká
Deverias ter sabido antes do teu agir assim,Ereîkuá ranhẽ meémo emonã nde rekorama,Ereîmoeté nde resé nde resé nde resé
Quero ir para tua terra,Asó-potá nde retãme,T'asó nde rerasó
"Como disseram os judeus, seus perseguidores, para ele?",Marã e'ipe Îudeus i piaretá i xupé?,"Marãpe Îudeus suí, i angaîpaba, i xupé?"
Esses teus olhos volta em nossa direção,Eboûĩ nde resá erobak oré koty,Aîpó nde nhe'enga îandé repîaka
Tendo alegria após sua morte,O manõ riré toryba rerekóbo,O angaîpaba pupé o îoesé
"tempo, lugar, modo, etc de se lavar, de se batizar",moîasukaba,aîepe'yma
Tanto mais porque eles são adversários de agressores,Memeté a'e morero'arupîara,I angaîpaba îanondé
Que não vá longe a esposa,T'osó umẽ temirekó kûepe,T'oîkuab-e'ẽngatu kunhã
a segunda vez dele,i mokõîa,i nhemõî
São más essas folgadas,I angaîpá kó kena'ĩ,Oîepé aîpó aîpó
Deixai de me prantear,Peteumẽ xe rapirõmo,Anhe'ẽ-te'ẽ
glória vã,îerobîá-tenhẽa,gûyrá-gûyrá
Reconhecendo que tu és o seu próprio criador,O monhangaramo nde rekó kuapa,Nde îuká îepé nde îaraîpaba resé
Lançaste algum menino que estava aconchegado a ti sobre ti por desejo sensual?,Ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?,Ereîmoîebype amõ kunumĩ nde resé nde resé nde rerekóbo resé?
"Obedecei ao padre, vosso mestre","Pesapîá abaré, pe mbo'esara","Aîepé abaré, nde rapixara"
Desvirginaste alguma menina?,Eresugûykápe kunhataĩ amõ?,Ereîmoeîukápe kunumĩ amõ?
"Na verdade, três vezes negarás ser meu discípulo antes de o galo cantar duas vezes",Mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî'e'ymebéne,"Aûîé, koîpó koîpó xe boîara îanondé koîpó îanondé koîpó îanondé"
Feriste alguém também?,Ereî'apixabype amõno?,Ereîmombe'u amõ abá bé?
Denunciar-me-iam ao meu imperador,Xe kuaukámo xe rubixaba supémo,Xe moaîu-potá xe rerekóbo
Pedro é maior que tu,Peró turusu-eté nde suí,Pedro nde ra'yramo
"Ah, como desejo aquela mulher casada!",Aîpotá-te kûé kunhã-mendara mã!,Aîpó aîpó kunhã-potá!
Eu fui peado,Xe pukusam,Xe robá
"lit, tromba comprida, gorgulho, inseto coleóptero",tĩmuku,gûyrá-kyrá
"Quando fustigava o sol a terra, eu vim","Ara yby sokeme, xe ruri",Ybype 'arybo 'arybo xe rekóû
"Tenho meu modo de ser diferente , Oré rekó-rekó-aé oroerekó - Temos nossos modos de ser diferentes",Xe rekó-aé arekó,"Xe moingó-moingó , Oré moingó-moingó"
"Escaparão futuramente os animais, os pássaros?","Okûabépe irã so'o, gûyrá?","Oîoîoîebype abá suí, oîoîoîuká?"
Fazendo-nos ir para o céu,Ybakype îandé sorama monhanga,Ybakype îandé moingóbo
Por ter ele esperança nela e em Deus,Sesé Tupã resé bé o îerobîasápe,Tupã resé sekóû sekóû
Eu sou rechonchudo,Xe asang,Xe ranhẽ
"Quem, necessariamente, a gente chama, estando aflita?",Abáp'amẽ asé osenõî oîkotebẽmo?,Abápe asé rekóû asé rekomonhangûera i xupé?
Queres que eu te unte com óleo bento?,Ereîpotápe îandy-karaíba pupé ixé nde pixyba?,Ereîmombe'u-potápe nde mbo'e-potá-potá?
Eu sou sábio,Xe mba'ekugûab,Xe robá
"escabelar, desfazer o penteado de, desgrenhar o cabelo de, etc",abo'o-bo'o,"apykaba, apykaba, apykaba"
"Existe meu auxiliar verdadeiro, o grande chefe Aimbirê, o pervertedor dos índios","Oîkobé xe pytybõanameté, tubixá-katu Aîmbiré, apŷaba moangaîpapara","Oîkobé xe rekó-katu, Aîmbiré-katu, Aîmbiré-angaîpaba"
serra braceira,ybyrakytĩabusu,ybyrá-pyrá-pyrá
Pode também tomá-lo algumas vezes em outros dias?,E'ikatu bépe amõ 'ara pupé amõme asé tara?,E'i bépe amõ sekóû 'ara supé?
O desejo de sumir para longe enche seus corações,Mamõ nhẽ kanhẽ-motara i py'a îaîporaká,Oîoîoîoingagûera resé oîoîoîoîoa'o
Mas seria difícil para as pessoas comer minha carne,A'e iî abaíbymo abá supé xe ro'o 'u,Emonã ipó asé xe re'õmûera
Está cheio teu ventre,I por nde rygé,I îuká nde pópe
Esbofeteio as costas de suas mãos,Aîpokupé-petek,Aîpotar o pó-potar
"Prega-o, prega-o na cruz de madeira","Eîmoîar, eîmoîar ybyrá îoasaba resé","Aîmoîaby, aîmoîaby, ybakype"
Não omiti nada,N'aîkuakubi mba'e,N'aîpotari abá
Fazendo as pessoas terem ódio umas das outras por causa de alguém,Abá resé nhoamotare'yma rerekouká abá supé,Abá resé oîepé oîepé oîepé oîepé oîepé
Mas que nós não paremos de chamá-la,Îandé-te îapyk umẽ senõîa,A'epe asé n'oîpotari
Troquei-lhe uma criação,Asekobîarõ seîmbaba i xupé,Aîmoîeby-mo'ẽ
"Tupiniquins, habitantes daqui, espiões inimigos","Tupinakyîa, keygûara, tĩapyra moroupîara","Tupiquirĩ, aîpotare'yma, tupiquirõîa"
"Eis que meu corpo não está disposto, amolecendo","Xe reté ã n'oîkoetéî, omembeka",Aîpó xe reté n'oîpotari
Lanço puçá,Apysá-îtyk,Aîuká-moîuká
Contaste para alguém que tu ficaste passando a mão em mulheres?,Ereîmombe'upe kunhã resé nde pokó-pokokagûera abá supé?,Ereîmombe'u-potápe kunhã resé nde îepé-potápe?
Ele está muito maduro,I apaîé - Ele está maduro I apaîegûasu,I angaîpabeté
Matemos juntos o que diz isso,Îaîuká memẽ aîpó 'îara,Îaîuká aîpó a'e rekóû
"Saiu para o pátio, chorando muito dolorosamente","Osem okarype, oîase'o-asy-katûabo",Oîeîoîoîabype oîoîoîoîoîoa'o-eté
arrancando sua orelha,i nambi mondoka,i apy'a-py'a
É no final da missa que entras sempre?,Missa mondykápe épe ereîké îepi?,I îurupe missape nde rekóû nde rekóû?
"Odeiam-te, expulsar-te-ão","Nde reroŷrõ, nde mombóne","Nde resemõ, nde resemõ"
Eis que esses meus valentões sabem assassinar,Kó a'e xe kyre'ymbaba oîkuá morapiti,A'e amõ xe ra'yra rekóû ipó
licor de aipim,aîpi 'y,apypyra
mortandade de gente,mbaba,abá-poxy
Isso é muito difícil!,Iîabaíbeté aîpó!,Aîpó-teté!
Vou como catador de madeira,Asó ybyrá piaramo,Asó ybyrá ybyra
"Não querendo comer, venho",Na mba'e 'u potá ruã aîur,"Aîpotare'ymamo, aîuká"
Havemos de chegar ao céu,T'orobasẽne ybakype,T'asó ybakype
"Por isso mesmo as malditas correm, insultando-se muito umas às outras",Nd'e'i te'e moxy onhana oîoa'o-marangatûabo,"Nd'e'i te'e muru a'ereme, oîepé-katu-katu-katu"
"Tocaste nas tuas pudendas, abrindo-lhes a pele?",Erepokokype nde rapopé resé i pipekábo?,"Ereîmoaîubype nde poîuká, i ku'a-pûá?"
Amainei a vela,Aroîyb aoba,Aîabybybyky
o assar do pão,miapé îyba,yba'e pora
Vejo meu reflexo,Anhe'angepîak,Aîmoaîar xe robá
convés da embarcação,ygara rokabytera,ybyrekoara
Podei-a,Aî'ybab,Aîmoîa'ok
Irritam completamente as pessoas,Oporoîrarõ mbá,Oîoîoîoí-katu abá
"São muitos os não conhecidos que Deus somente, o criador deles, conhece",Se'yî i kuabypyre'yma Tupã i monhangara remingûaba nhõ,Setá-katu Tupã nhe'enga nhẽ i xupé i moîebyri
Em que parte do corpo ele o flechou?,I mba'epepe i nhybõû?,Marãpe serã i a'e i xuíû?
Dói-me a cabeça,Sasy xe akanga xe suí,Aîmoîu-moín
Para outra coisa que não o pássaro a flecha foi,Gûyrá taté u'uba sóû,Opaîpaba'e rekóû gûyrá rekóû i gûyrá rekóû
muitas coisas miúdas,ta'yrĩ-rĩ,amõ-mirĩ
"Pois, se um homem guarda seu próprio filho, quanto mais Deus compadecer-se-á de nós","Abá abiã é o a'yra ogûerekó-katu, memetipó Tupã asé raûsubáne","Emonã, kunumĩ resé abá o membyra, Tupã serã îandé resé"
"""ajuntamento de ostras"", nome de um lugar",Rerityba,'angaîpaba
"Vem, coisa fedorenta, coisa nojenta, tamarutaca!","Eîori, mba'enem, mba'e-poxy, tamarutaka!","Eîori, gûy-mirĩ, gûy-mirĩ, tamarutaca!"
"A gente mesma acovarda-se, consentindo-o",Asé aé oîemoabangá i mborypa,"Opá asé oîepé, i moîebyrábo"
certamente! sem dúvida! assim é! tem razão! é verdade!,anhẽ rakó!,angaîpaba'e! i xuí! i xuí! i xuí!
"Matá-lo-ei futuramente, com certeza",Aîuká ipó irãne,Aîepé aîepé ipó
remanso d'água,y-îebyra,ybybyra
"Será que estais sossegados, como os que não vêem a morte?",Pe apysykĩ serã peîkóbo te'õ repîakare'yma rame'ĩ?,"Nd'e'i te'e nde moingóbo, te'õ-potare'yma resé?"
Eu lhe pelo o couro cabeludo,Aî'apirabo'o,Asó-mo'ẽ-mo'ẽ
gargalo fino,anhurĩ,aîuby-aîu
Por isso mesmo o ladrão é o que deve ser enforcado como pena de seus roubos passados,Nd'e'i te'e abá mondá iî aîubykypyramo oîkóbo o mondarõagûera repyramo nhẽ,Nd'e'i te'e ladra rekóû oîmoîeby-potare'yma oîmoîeby-potare'yma
cocho de porcos,taîasu remi'uru,gûyrá-yrá
Durmo com roupa,Aroker aoba,Aîuká-mo'ẽ
Queres teu batismo?,Ereîpotápe nde nhemoîasuka?,Ereîmombe'u nde rapixara?
Fi-la engravidar,Aîmomburu'a,Aîmoîeby'ok
Fazendo vir à tona seus atos escondidos,Sekó-nhemima monduîa,Oîoîoîeby-potá-potá-potá
Hei de me embebedar para perder o juízo,T'asabeypóne 'ara mokanhema,T'asó xe moaîuká îuká îuká
"Os que não criam nele trabalharam em conjunto, ficando a flechá-lo","Serobîasare'yma potyrõû, iî ybõîybõmo",Aîpó n'oîporaîpaba'e oîepé oîepé oîea'yma
