source,reference,translation
"E'i tenhẽ onhemoîtỹamo, u'uba mongûá-potá","Em vão eles se esquivam, querendo fazer passar as flechas","Irão, de fato, para afastar-se, agitando o fruto"
"Aûîeté, gûe'õ ré, 'ara mosapyra resé bé sekobeîebyri","Contudo, após sua morte, no terceiro dia voltou a viver","Logo depois da morte, após passar o anjo do dia"
Xe yî,Eu estou poento,Eu sou grande
"Taba Belém pora pitanga i amundaba pora abé apitiukari, sesebé Îandé Îara moîese'a-potá","As crianças habitantes da aldeia de Belém e também as habitantes das suas vizinhanças mandou assassinar, nelas querendo incluir Nosso Senhor","O pão que estava na aldeia de Belém fez também a aldeia, fazendo com ele nosso Senhor"
ybyrapu'a,bola de madeira,o que está no meio de água
N'aîabŷî xûé temõ erimba'e nde nhe'enga mã!,"Ah, quem me dera não ter transgredido outrora tuas palavras!",Não me cabe que ele tivesse dito algo sobre tuas palavras!
i îatyrá-tyraba'e,o que é felpudo,o que é belo
Amõ aó-pyranga mondepa sesé,Uma roupa vermelha colocando nele,Ums são os que guardam o fogo nele
Aûîé sapirõmbyre'yma o moetee'yma oîmoasy,"Enfim, o que não é pranteado ressente-se de não o honrarem","Imediatamente, os que não se confessam, os que não confessam, acabarão"
Xe robá-kuru-kurub,Eu tenho o rosto muito curubento,Eu tenho o corpo escurado
Marã e'ipe iîypy?,Como diz o primeiro deles?,Que disseram eles?
Emonã i'e ra'e,Dizem que é assim,Eis que é assim
Xe reryîara tupãoka eîmonhang,Faze uma igreja que tenha meu nome,Faça-me ter a vontade de viver
Xe abagûasu,Fiz-me homem,Eu sou escurado
-Ene'ĩ esóbo!,"Eia, vai!","Eia, vamos!"
Na satãngatuî maíra!,Não é muito forte o homem branco,"Eia, que bom é o sorgo!"
Asapy,Ferrei-o,Fiquei-o
Nainanĩ temiminõ o erumûana mombó,De modo algum os temiminós tiram seus nomes antigos,"Na verdade, os temiminós ignoram seus pecados"
Ereîpotápe nde 'u?,Queres que ele te coma?,Acreditas em tua mãe?
Kûesé nde remirekó manhanamo ereîmondó,Há poucos dias mandaste tua esposa como espiã,"Eis que, segundo tuas palavras, criaste uma bondade"
o îoati'yba ri,"sobre os ombros de duas pessoas, de um e do outro ombro",por sua própria morte
Xe anhangusu-mixyra,"Eu, o diabão assado",Eu sou um maldito
i mosapysaba,o terceiro deles,o que é cortado
Abá rekó mondykaba,O destino final das coisas dos homens,A vida de alguém é muito difícil
Xe rabusu,Eu tenho muita felpa,Eu sou grande
"O moaîureme o momara'areme a'e i arybeba'erama biã sasyeté, memetipó i arybeba'erame'yma","Se ele tem muita dor quando o empalidece e quando o deixa doente aquilo que se abrandará, quanto mais aquilo que não se abrandará","Por não se aflitarem, então, os que se afligem, seriam maus, nem por isso, os que não se afligem"
Pesa'ang îepé korite'ĩ nhõte xe pyri pekere'yma,"Tentastes em vão, por pouco tempo, não dormir perto de mim","Lembraste-vos, de fato, antes de ir atrás de mim"
abá ogûerekomemûãeté suí onheangûabo,Tendo medo de que alguém o maltrate muito,pessoas que se livraram de suas palavras
Satãngatu-te nipó,"Eles são, realmente, muito fortes",Ele é muito bom
I 'anga 'u-potá é pysaré n'aker-angáî,"Querendo devorar suas almas, a noite toda não dormi, absolutamente",Não querendo que sua alma pareça com seu ventre
E'ikatupe asé ogûera rekobîarõmo?,Pode a gente trocar seu próprio nome?,Pode a gente confessar os pecados de nós?
Aîmondar ahẽ xe itaîuba ri,Suspeito dele acerca de meu dinheiro,"Coloquei-o, de fato, em meu coração"
Oker okûapa tekotebẽ suí nhẽ,Estavam dormindo por causa da aflição,Entram todos de modo insensível
"Karaíba, ipó, n'oîkoangaîpá-pyrybi","Os cristãos, na verdade, não pecam pouco","Os anjos, certamente, não têm a vontade de se casarem"
Xe rybykasy,Eu tenho diarréia,Eu tenho o pescoço
A'e ré kori îasó tubixaba akanga kábo,"Depois disso, vamos quebrar as cabeças dos reis","Depois disso, vamos para afastar as cabeças dos escravos"
"To, ahẽ! Abápe ké sobasẽ?",Oh! Quem aqui dá a cara?,"Oh, de fato! Quem está aqui?"
Ybakygûara onhemoputupab i nhemomoreaûsuba repîaka,"Os habitantes do céu afligiram-se, vendo-o humilhar-se",Os habitantes do céu criticam-se pela compaixão deles
aó-moundara,"o que escurece roupas, o tintureiro",o que é morto
Ikatupe nde moĩndara,O que te põe nu,Fazendo-te viver em todas as partes
Aîpó-petek,Esbofeteei suas mãos,Fiquei-o a colar
Na mboby nhõ ruã akaîu-'aîubane aûîeramanhẽ-te,"Não serão somente poucos anos, mas para sempre","Não, de costume, de costume, de costume, de costume, de costume, de costume"
"Ne'ĩ, t'asó nde irũmo","Eia, hei de ir contigo","Eia, hei de ir contigo"
Yba i peb,Os cabos são achatados,Na terra em vós
"Asé i kangûerĩ tiruã momba'etéû, o aîuri serekóbo","Até mesmo seus ossinhos a gente cultua, tendo-os no pescoço","A gente leva-o muito antes de o levar, fazendo-o caer em si mesmo"
Aîmorambûerukar ahẽ rekorambûera,Fiz frustrar aquilo que fulano faria,Coloquei os frutos dos combates
Xe py-piru'a,Eu tenho pés calejados,Eu tenho o pescoço escurado
Ixé aé ã a'é umûã nakó peẽme,"Eu mesmo, como se viu, já vos disse isso","Eis que eu, de fato, iria assim ir"
"Peîori, peîaîubã pitangĩ-moraûsubara","Vinde, abraçai o neném compadecedor","Vinde, comendo vossos antigos avós queridos"
korite'ĩ-aíb-eté,"o mais cedo possível, em um momento","muito, muito, muito grande"
Amembek,Acovardo-me,Fiquei
Marãpe asé rekóû Tupã remimotara moporagûama resé,Como a gente procede para o cumprimento da vontade de Deus?,"Na verdade, nós temos a vontade de honrar a vontade de Deus"
Mba'e-embegûasu!,Coisa beiçuda!,"Ah, que bom é isso!"
Marãîasûaramo turi mã!,"Ah, oxalá ele viesse!","Ah, que bom seria isso!"
Aruretá kó reri,Trouxe muitas destas ostras,Levo-o muito tempo
T'oîkó umẽ moxy xe ypybo,Que não esteja o maldito perto de mim,Que esteja o maldito no meu caminho
Xe aŷpygûasu,Eu tenho cachaço grande,Eu sou escurido
Aîmonhã-memûã,Fi-lo mal,Fiquei-o engardoando
Our paranã - Subiu a água do mar Ourusu 'y,Cresceram muito as águas,Vem a água do mar
Marãnamope asé îobasabetá-etáûne?,Por que a gente se persignará muitas e muitas vezes?,Por que é que a gente é muito pobre?
"A'epe supindûare'yma resé Tupã renõîndara, marã?","E o que evoca a Deus pelo que não é verdade, que acontece?","E, por acaso, o que tem a vontade de se casar com Deus, que acontece?"
Asobaún,Entisnei o rosto dele,Fiquei-o a comer
Te'inhẽne oîkóbo ká,Que o deixem estar,Hei de estar sempre
Ten i mo'îabo,Fazendo-o estar com firmeza,Querendo fazê-los ir
Nde resá-popybo ema'ẽmo,Olhando na ponta dos teus olhos,Tendo medo de te matares
"Onhemombe'upe abá gûarinĩnamo o só îanondé, ygarusupe o 'ar-y îanondé?","Confessa-se alguém antes de ir à guerra, antes de embarcar num navio?","Acredita o homem, querendo ir, antes de se casar, ou antes de se casar?"
"Eîori muru mondyîa, t'opu'am umẽ oré ri","Vem para espantar o maldito, para que não invista contra nós","Vem para alimentar os malditos, para que venha para nos ajudar"
Umã? Akó Rorẽ-ka'ẽ?,Qual? Aquele Lourenço tostado?,Onde? Aquele Rorẽ-caça?
"Ybyoka asapekóne, Itaoka abé aîpobu, rumby, Îupaogûaóne","Hei de frequentar Ibioca, revirarei também Itaoca e, enfim, Jupaoguaó","No meio do rio, no meio do rio também, no meio, no meio de São Paulo"
ybyrá ku'i,pó de madeira,o que está no meio da água
Ndaroîaî mamõ xe sóû,Nem por isso eu vou para longe,Eu não tinha ido
"Eîori, mba'enem, mba'e-poxy, mborá!","Vem, coisa fedorenta, coisa nojenta, borá!","Vem, coisas más, coisas más falsas, preguiçosas!"
"Xe resaraî é gûitekóbo, n'aseîá-potá ruã!","Eu estava, mesmo, esquecendo, não que o quisesse omitir","Eis que eu tinha-me vencedo, não querendo ser grande!"
N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo,Não o teríamos trazido a ti se ele não tivesse pecado,"Não afastei-o, não querendo que ele se aflige contigo"
I mba'eba'e ixé,Eu sou o que é rico,Eu sou doente de coisas
Ygarusu nungara,Algo semelhante a um navio,o que tem o ombro de Jaguarusu
aîogûasu,saca,"o que está no meio, o que está no meio"
Agûatá ko'arapukuî nde rerapûana resé,Caminhei o dia todo por causa da tua fama,Creio em teus antigos pecados
Xe mendasabeté resé nhõ t'aîkóne,Com meu cônjuge verdadeiro somente hei de ter relações sexuais,Hei de viver apenas por minha bondade
Ereîmombo'irype kunhã amõ i mena suí?,Apartaste alguma mulher de seu marido?,Afastaste alguma mulher de seu marido?
Eîori oré rekyîa,Vem para nos arrebatar,Vem para nos alimentar
Aûîebé-temo xe só-umani,Ainda que eu já tivesse ido,"Eis que, de fato, me mataram"
Xe resaraî-potar,"Eu tenho propensão a esquecer, eu sou esquecidiço",Eu tenho muitas presas
Ne'ĩ taûîé xe reîyîa!,"Eia, afasta-me depressa!","Eia, certamente me matará!"
ybyty-bytyra,"muitos outeiros, serrania",rio de terra
Amõ seba'e irũmo nhẽ,Com algumas coisas que são saborosas,"Imediatamente, de alguma forma, iremos"
abá-pûapẽîara,homem sovina,homem escurado
Nde poxype nde remirekó asykûereté amõ resé koîpó i mũ-mbyryba?,Tu foste torpe com alguma irmã de tua esposa ou com sua parente próxima?,"Tu te alegras quando te alegras por alguma virtude, por exemplo?"
Na xe îuru-pyki,Eu não tenho boca sossegada,Eu não tenho palavras boas
Nhoesembé robabo i kûáî,Ele passou diante de Ilhéus,Viram-no ao longo da viagem
"Anhẽ, n'i tekokuabi","Na verdade, não são conhecedores das coisas","Eia, não há de ser mau"
Oîxamysyk sero'ama,"Amarraram-no com corda, fazendo-o estar em pé","Enfim, o que é morto"
Ybakype asé 'anga rerasóbo,Levando nossa alma para o céu,Para ir para o céu para acabar nossa alma
ka'a mosanga ra'anga,experimentando poções de ervas,o que come a poeira de caça
Aîpi-momemûã,Esfreguei a pele dele,Morrei-lhe a cabeça
Nde arybé Anheté kó nde rapé,Aquieta-te Verdadeiramente este é teu caminho,"Lembra-te Aheté, neste teu caminho"
Teumẽ ké serasóbo rá,Guarda-te de o levares,Hei de ir para aqui
Asé rekokaturama mombegûabo,Anunciando nossa futura felicidade,Fazendo passar nossa virtude
Anhemombeb gûitena,Estou-me agachando,Enfimei-o
"T'okaî nde ratá pupé, ta sepy muru angaîpaba","Que queimem em teu fogo, para que os pecados dos malditos tenham retribuição","Que venha dentro de teu fogo, para que te rodeia a maldade dos malditos"
xe remimbo'epûera,o que eu ensinei,o que eu tinha feito
kó Yby'apapesûara,estes que estão em Ibiapaba,"aqui, aqui, aqui, aqui, aqui"
Setá tekó oporomondyîba'ene,Serão muitos os fatos que assustarão as pessoas,São muitos os que se resistem a ele
y robaî,além do rio,por cima da água
"Xe îyboîa, xe sokó, xe tamuîusu Aîmbiré","Eu sou uma jibóia, eu sou um socó, eu sou o grande tamoio Aimbirê","Eu sou grande, eu sou grande, eu sou grande-juiz Aimbirê"
"Karaibebé a'e, moroîubyka puaîtara",Ele é o anjo que encomenda o enforcamento,O anjo ele é o que paga os morruçus
Kó ygara ruri Osó-te,Cá vem um barco Não faz senão ir,Aqui está a canoa
Abá angaîpá-nhemima i kuapare'yma supé mombegûabo,Contando as maldades escondidas de alguém para quem não as conhece,"Fazendo um homem que não o comete, querendo que ele se comete"
i xo'opyra,o que é convidado,"o que é magro, o magro"
"Xe t'oropysykatu, xe mundépe nde mbo'a","Eu hei de bem apanhar-te, fazendo-te cair no meu mundéu","Eu hei de me alegrar, fazendo-te viver em mim"
Aîopûaî Pedro îepeaba resé,Encarreguei Pedro da lenha,Aproximei-me de Pedro
"Ereképe, Gûaîxará?","Dormes, Guaixará?","Acreditas, Guaixará?"
Mobype erenhemombe'u koîpó eretupãar?,Quantas vezes te confessaste ou comungaste?,"Que disseste com ele, estando aflito?"
i py,o avesso dele,no lugar em que está
"Ikó 'ara pupé abiã Tupã remimonhangûera i porãngatu, memetipó ebapó ybakypy","Se o que Deus fez neste mundo é muito belo, quanto mais lá, o céu primeiro","Dentro deste mundo, a vida de Deus é verdadeira, como sempre, no céu"
Aîmoangaîpá pá benhẽne,Farei todos pecarem de novo,Enforquei todos os dias
mba'easybora nde kotypendûara,o doente que está ao teu lado,"o que te mata, o que te mata"
Tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa,Invocando a Deus ou sua própria alma ou a cruz ou algo verdadeiro,"Olho para Deus, para suas almas, para a cruz, para o diabo"
Oîkuá-katupe a'e suí o semagûama?,Sabem bem de sua futura saída dali?,Afastou-se muito daquele?
I mba'e-potar îagûara,O cão é ávido,"O que é mau, o que é mau"
Oroîoerokûab,"Fizemo-nos passar uns aos outros, passamos uns com os outros",Nós nos enforcamos
A'e îandé resé Tupã t'omoma'enduar,Que ele faça Deus lembrar-se de nós,Que conheçamos a Deus por nós
Nde porãngatu raûsupa,Amando tua grande beleza,Amando-te muito
T'îanhe'engá-mirĩ ranhẽ,"Cantemos um pouquinho, primeiro",Hei de fazê-lo entrar primeiro
Anhe'ẽ-îeaseî,Falo irritadamente,Enfimei-me a cabeça
angûera resé Tupã mongetasagûama,tempo de rogar a Deus pelas almas,o que tem a causa de se casar com Deus
Ererokûé-rokûerype abá amõ?,Ficaste detendo contigo alguma pessoa?,Aproximaste-te de alguma pessoa?
Eîepe'a!,Afasta-te!,Eia!
Xe moapysy-katu,Deleita-me muito,Eu tenho muito dor
"I mbo'a tiruã, i mbo'ar' e'ymebé, a'erame'ĩ i mbo'ar'iré, omarane'ymamo","Estando virgem, mesmo dando-o à luz, antes de dá-lo à luz e, igualmente, após dá-lo à luz","Se eles morrerem antes de o matarem, depois disso, não morrerão nem por isso"
Aîkûatiar,Pintei-o,Aproximei-o
ara papápe,no fim do mundo,em todas as casas dos habitantes
"Endé, nde îybápe, Îesu eresupi","Tu, em teus braços, Jesus ergueste","Tu, em teus braços, Jesus matas"
Kûesé bé mba'e n'a'uî,Desde ontem não como nada,Eis que também não há coisas
T'ereîu ybaté xe rerasóbo,Que venhas para levar-me para o alto,Que venha logo para ver-me
Aindé,Estou à parte,Eu
Opá xe ramyîa ma'epûera aîtyk,Todos os bens de meus avós joguei fora,Todos os cadáveres de meus avós apaguei
Osó é ahẽ îabynomã,Se não fosse ele ter ido,"Foram, de costume, todos"
Kori é t'oromondóne,Hoje mesmo hei de fazer-te ir,Hoje é que vamos
"Iké nhẽ peîkó xe rarõmo, xe pyri, pekere'yma","Estai aqui esperando-me, junto de mim, não dormindo","Eis aqui para vós ver-me, junto a mim, sem vos perdoar"
Pitangamo seni Maria îybápe,Como criança está nos braços de Maria,Como infanta está em casa de Maria
Ixé aé ã a'é umûã nakó peẽme,"Eu mesmo, como se viu, já vos disse isso","Eis que eu, de fato, iria assim ir"
Nde membyrápe erimba'e nde remimotarybo?,Tu deste à luz por tua vontade?,Tu te perdiste o que era teu substituto?
Nde porãngatu raûsupa,Amando tua grande beleza,Amando-te muito
A'e suí turi oîkobeba'e omanõba'epûera pabẽ rekomonhangane,Daí virá para julgar todos os que vivem e os que morreram,"Daí, de fato, todos os que fizeram as coisas que foram feitas dele"
Asé sy o membypitanga raûsuba sosé asé raûsume nhẽ,Por nos amar mais do que nossa mãe ama seus próprios filhinhos,A gente ama mais que a nossa mãe
Abá sosé pabẽ i momorangi,Mais que a todos os seres humanos embelezou-a,"Para além de alguém, todos os fizeram ficar felizes"
Aîukae'ym,Não mato,Fiquei-o a comer
Ambyasybora poîa,Dar de comer aos famintos,Aquecendo a fome
Kûepe kunhã-mendarûera ereîmomoxy-moxy,Por aí as mulheres casadas ficavas pervertendo,Eis aqui a mulher que é violada
São Lourenço pytybõana,ajudante de São Lourenço,São Lourenço é uma aldeia
Ererupe nde petyma?,Trouxeste teu fumo?,Acreditas na tua terra?
ysypó-tyba,ajuntamento de cipós,água quente
Peîuká!,Matai-o!,Vê-lo!
"Tamũîa, kyre'ymbagûera, omombab erimba'e","Destruiu outrora os tamoios, os valentes","O maldito, os que estão no ventre, queimaram-se"
Marã-pakó xe sy xe mbo'ari erimba'e?,Por que minha mãe me deu à luz outrora?,Que disse a mãe de minha mãe?
okytá,"esteio, alicerce de casa","no meio, no meio"
Ereîkuá ranhẽ meémo emonã nde rekorama,Deverias ter sabido antes do teu agir assim,"Afastaste-te, primeiro, por causa de tua ida"
Asó-potá nde retãme,Quero ir para tua terra,Vou para afastar tuas palavras
Marã e'ipe Îudeus i piaretá i xupé?,"Como disseram os judeus, seus perseguidores, para ele?",Que disseram os judeus em seu nome?
Eboûĩ nde resá erobak oré koty,Esses teus olhos volta em nossa direção,Afastando-te de tuas palavras para nós
O manõ riré toryba rerekóbo,Tendo alegria após sua morte,Fazendo-se viver junto de sua maldade
moîasukaba,"tempo, lugar, modo, etc de se lavar, de se batizar",o que é mau
Memeté a'e morero'arupîara,Tanto mais porque eles são adversários de agressores,Esses são os que são maus
T'osó umẽ temirekó kûepe,Que não vá longe a esposa,Havemos de ir para longe
i mokõîa,a segunda vez dele,o que é cortado
I angaîpá kó kena'ĩ,São más essas folgadas,É muito mau este pássaro
Peteumẽ xe rapirõmo,Deixai de me prantear,Lembrai-vos de mim
îerobîá-tenhẽa,glória vã,caça de caça de caça
O monhangaramo nde rekó kuapa,Reconhecendo que tu és o seu próprio criador,Fazendo que ele seja o que te batiza
Ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?,Lançaste algum menino que estava aconchegado a ti sobre ti por desejo sensual?,Afastaste algum menino que tu te importaste com o que é mau em teu coração?
"Pesapîá abaré, pe mbo'esara","Obedecei ao padre, vosso mestre","Vinde o padre, como vosso senhor"
Eresugûykápe kunhataĩ amõ?,Desvirginaste alguma menina?,Acreditas em algum moço?
Mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî'e'ymebéne,"Na verdade, três vezes negarás ser meu discípulo antes de o galo cantar duas vezes",Oxalá não o fizesse meu fôssego ter-te matado antes de ter-te matado um só anjo
Ereî'apixabype amõno?,Feriste alguém também?,Aproximaste alguma coisa?
Xe kuaukámo xe rubixaba supémo,Denunciar-me-iam ao meu imperador,Eu tenho vontade de ir para meu pai
Peró turusu-eté nde suí,Pedro é maior que tu,Traigai muito bem de ti
Aîpotá-te kûé kunhã-mendara mã!,"Ah, como desejo aquela mulher casada!","Ah, quem me dera ver aqui uma mulher bondosa!"
Xe pukusam,Eu fui peado,Eu sou escurado
tĩmuku,"lit, tromba comprida, gorgulho, inseto coleóptero",o que é mau
"Ara yby sokeme, xe ruri","Quando fustigava o sol a terra, eu vim","À volta da terra, vinhei"
Xe rekó-aé arekó,"Tenho meu modo de ser diferente , Oré rekó-rekó-aé oroerekó - Temos nossos modos de ser diferentes",Eu sou muito grande
"Okûabépe irã so'o, gûyrá?","Escaparão futuramente os animais, os pássaros?","Afastou-se o pão, por acaso?"
Ybakype îandé sorama monhanga,Fazendo-nos ir para o céu,Para o céu que faz nossa companheira
Sesé Tupã resé bé o îerobîasápe,Por ter ele esperança nela e em Deus,Seus próprios atos a Deus também são maus
Xe asang,Eu sou rechonchudo,Eu sou magro
Abáp'amẽ asé osenõî oîkotebẽmo?,"Quem, necessariamente, a gente chama, estando aflita?",Que disse a gente de modo insensível?
Ereîpotápe îandy-karaíba pupé ixé nde pixyba?,Queres que eu te unte com óleo bento?,Acreditas em minúsculas boças de minúsculas de mim tuas flores?
Xe mba'ekugûab,Eu sou sábio,Eu tenho aflições
abo'o-bo'o,"escabelar, desfazer o penteado de, desgrenhar o cabelo de, etc","o que está lirado, o que está lirado"
"Oîkobé xe pytybõanameté, tubixá-katu Aîmbiré, apŷaba moangaîpapara","Existe meu auxiliar verdadeiro, o grande chefe Aimbirê, o pervertedor dos índios","Estão presentes meus antigos amigos, os antigos habitantes de Aïmbirê, os que amaram os índios"
ybyrakytĩabusu,serra braceira,o que está no meio do mar
E'ikatu bépe amõ 'ara pupé amõme asé tara?,Pode também tomá-lo algumas vezes em outros dias?,Pode outro dia a gente viver na terra de outro dia?
Mamõ nhẽ kanhẽ-motara i py'a îaîporaká,O desejo de sumir para longe enche seus corações,Apenas alguns de seus cadáveres queimaram
A'e iî abaíbymo abá supé xe ro'o 'u,Mas seria difícil para as pessoas comer minha carne,"Ele, de fato, é o que me mata para o homem"
I por nde rygé,Está cheio teu ventre,Sembrando-o por tua razão
Aîpokupé-petek,Esbofeteio as costas de suas mãos,Pequei-lhe a cabeça
"Eîmoîar, eîmoîar ybyrá îoasaba resé","Prega-o, prega-o na cruz de madeira","Desperde-os, desperde-os do caos do céu"
N'aîkuakubi mba'e,Não omiti nada,Não tenho coisas
Abá resé nhoamotare'yma rerekouká abá supé,Fazendo as pessoas terem ódio umas das outras por causa de alguém,Para as pessoas pedirem que não perdoem a ninguém
Îandé-te îapyk umẽ senõîa,Mas que nós não paremos de chamá-la,"Nós, em vez de te batizarmos bem"
Asekobîarõ seîmbaba i xupé,Troquei-lhe uma criação,Acreditei em seu futuro futuro
"Tupinakyîa, keygûara, tĩapyra moroupîara","Tupiniquins, habitantes daqui, espiões inimigos","O tupino, o cauim, o que tem o pão"
"Xe reté ã n'oîkoetéî, omembeka","Eis que meu corpo não está disposto, amolecendo","Meu corpo não tem a ver com ele, entrando"
Apysá-îtyk,Lanço puçá,Aqueceu-o
Ereîmombe'upe kunhã resé nde pokó-pokokagûera abá supé?,Contaste para alguém que tu ficaste passando a mão em mulheres?,Acreditas em mulheres tuas compadecenças com alguém?
I apaîé - Ele está maduro I apaîegûasu,Ele está muito maduro,"Ele está maduro, o que está maduro"
Îaîuká memẽ aîpó 'îara,Matemos juntos o que diz isso,Matemos todos os dias esse dia
"Osem okarype, oîase'o-asy-katûabo","Saiu para o pátio, chorando muito dolorosamente","Saiu à frente, apanhando-se muito"
i nambi mondoka,arrancando sua orelha,o que é feito de corpo
Missa mondykápe épe ereîké îepi?,É no final da missa que entras sempre?,A matriz disseste sempre a ti mesmo?
"Nde reroŷrõ, nde mombóne","Odeiam-te, expulsar-te-ão","Tu estás aflito, em tuas mãos"
Kó a'e xe kyre'ymbaba oîkuá morapiti,Eis que esses meus valentões sabem assassinar,Eis que aquele que me batiza batiza em boca
aîpi 'y,licor de aipim,"o que está no meio, o que está no meio"
mbaba,mortandade de gente,"coisa nova, coisa nova"
Iîabaíbeté aîpó!,Isso é muito difícil!,É muito mau isso!
Asó ybyrá piaramo,Vou como catador de madeira,Vou para viver na terra
Na mba'e 'u potá ruã aîur,"Não querendo comer, venho",Não havia coisas boas de comer
T'orobasẽne ybakype,Havemos de chegar ao céu,Hei de ir ao céu
Nd'e'i te'e moxy onhana oîoa'o-marangatûabo,"Por isso mesmo as malditas correm, insultando-se muito umas às outras",Por isso mesmo os malditos se confessam
Erepokokype nde rapopé resé i pipekábo?,"Tocaste nas tuas pudendas, abrindo-lhes a pele?","Aproximaste-te com suas palavras em teu coração, sentendo-as?"
Aroîyb aoba,Amainei a vela,Aproximei o céu
miapé îyba,o assar do pão,o que está no meio da estrada
Anhe'angepîak,Vejo meu reflexo,Fiquei-o
ygara rokabytera,convés da embarcação,armadura de canoa
Aî'ybab,Podei-a,Fiquei-o
Oporoîrarõ mbá,Irritam completamente as pessoas,Conhecemos as coisas falsas
Se'yî i kuabypyre'yma Tupã i monhangara remingûaba nhõ,"São muitos os não conhecidos que Deus somente, o criador deles, conhece",Não querendo que Deus o perdoe outrora
I mba'epepe i nhybõû?,Em que parte do corpo ele o flechou?,Qual foi o seu nome?
Sasy xe akanga xe suí,Dói-me a cabeça,Saiu minhas pernas de mim
Gûyrá taté u'uba sóû,Para outra coisa que não o pássaro a flecha foi,Eis que foi logo à Guayrá para despejar cauim
ta'yrĩ-rĩ,muitas coisas miúdas,"tempo de vida, tempo de vida"
"Abá abiã é o a'yra ogûerekó-katu, memetipó Tupã asé raûsubáne","Pois, se um homem guarda seu próprio filho, quanto mais Deus compadecer-se-á de nós","O homem também é seu filho que fica muito preocupado, muito preocupado com a vida de Deus"
Rerityba,"""ajuntamento de ostras"", nome de um lugar",O que tem pena
"Eîori, mba'enem, mba'e-poxy, tamarutaka!","Vem, coisa fedorenta, coisa nojenta, tamarutaca!","Vem, coisas más, coisas más, coisas boas!"
Asé aé oîemoabangá i mborypa,"A gente mesma acovarda-se, consentindo-o","As pessoas, de fato, estão a enfeitar-se com ele"
anhẽ rakó!,certamente! sem dúvida! assim é! tem razão! é verdade!,"bem, pois!"
Aîuká ipó irãne,"Matá-lo-ei futuramente, com certeza",Vou de fato para longe
y-îebyra,remanso d'água,o que está no meio da água
Pe apysykĩ serã peîkóbo te'õ repîakare'yma rame'ĩ?,"Será que estais sossegados, como os que não vêem a morte?","Vós alegrais-vos, não tendo medo da morte?"
Aî'apirabo'o,Eu lhe pelo o couro cabeludo,Fiquei-o a ferir
anhurĩ,gargalo fino,"por aí, por aí"
Nd'e'i te'e abá mondá iî aîubykypyramo oîkóbo o mondarõagûera repyramo nhẽ,Por isso mesmo o ladrão é o que deve ser enforcado como pena de seus roubos passados,"Por isso mesmo o homem que tem a maldade perde-se, não tendo medo de ser perseguido por causa de sua maldade"
taîasu remi'uru,cocho de porcos,"o que come feioca, o que come peixe"
Aroker aoba,Durmo com roupa,Aproximei-o
Ereîpotápe nde nhemoîasuka?,Queres teu batismo?,Acreditas em que tu te mataste?
Aîmomburu'a,Fi-la engravidar,Fiquei-o a colar
Sekó-nhemima monduîa,Fazendo vir à tona seus atos escondidos,São muitas as maldições
T'asabeypóne 'ara mokanhema,Hei de me embebedar para perder o juízo,Que se satisfaça o dia
"Serobîasare'yma potyrõû, iî ybõîybõmo","Os que não criam nele trabalharam em conjunto, ficando a flechá-lo","O que não tem a vida, queima-se, queima-se"
I nhe'engasy n'opabi,Suas palavras ásperas não cessam,Não querendo ver suas palavras
Aûîé aîub,Estou bem Aûîé aîkó - Estou bem,Enfimei-o
Aûîé nipó! Kasianamo t'aîkó,Muito bem! Hei de ser castelhano,"Eia, hei de ir! Hei de ir ao casino"
"Morubixaba tuîba'e onhe'eng memẽ i xupé, senonhena, i akakapa","Os chefes velhos falam sempre a eles, repreendendo-os, censurando-os","Os antigos reis foram para eles, fazendo-os passar, fazendo-os passar"
y-akã,braço de rio,rio de água
Eîori i momosema,Vem para persegui-lo,Vem para enviá-los
kûarasy sembaba,"a saída do sol, o nascer do sol",o que está no meio do sol
"Erobîá, xe rubangab, ta nde moembiá kori","Acredita, meu padrinho, hão de te apresar hoje","Eia, meus amigos, que te alegrais hoje"
Xe apyri tuî - Ele mora a meu lado O îoapyri oré roka ruî,Nossas casas estão estabelecidas uma junto da outra,Ele morre em meu lado O que morre em nosso caminho
"Oîabab i xuí, seîá","Fugiram dele, deixando-o","Despediu-o delas, tirando-as"
"Ara pab'iré, i moingobeîebyri-ne","Após acabar o mundo, fá-los-á voltar a viver","Depois de acabar o dia, querendo fazê-lo acabar"
Nãmo oroapin,Rapamos nesta medida,Por isso alegramo-nos
Aru-pab,Trouxe todos,Caio-o
u'ubá-tyba,ajuntamento de canas-de-flecha,o que não tem água
akanga îepotasaba,as juntas da cabeça,o que toca a cabeça
Aîkoé,Sou diferente,Fiquei-o
Asé monhemombegûabo,Confessando a gente,Fazendo-nos fugir
Nde erimba'e xe pysyrõ îepé,Tu outrora me salvaste,Tu tu me guardaste sempre
Akanhẽ-kanhem,Andei sumido,Fiquei-o engardoando
A'ypîasó,Vou buscar água,Vi-o
xe potaba,minha herança,minha terra
Sekoaba nhẽpe?,É o modo de ser deles?,Ele estava deprimido?
T'orosaûsu îandé ruba,Que amemos nosso pai,Que se alegramos de nosso pai
Ka'abo asó,Vou à caça,Vou para usar cauim
